;vertical_force_1;side_force_1;internal_force_1;external_force_1;vertical_force_2;side_force_2;internal_force_2;external_force_2
0;124.765;53.802;21.462;41.85;79.454;31.771;0.0;63.302
1;111.475;7.458;42.131;33.947;89.467;10.547;0.0;60.871
2;125.106;54.033;23.286;46.916;85.862;29.525;0.0;71.002
3;109.09;3.699;44.157;8.618;86.263;16.746;0.0;45.673
4;120.335;44.058;27.744;29.692;79.854;37.161;0.0;60.465
5;113.179;16.589;36.66;39.621;90.268;2.301;0.0;59.655
6;111.475;47.894;19.638;42.863;92.271;45.787;0.0;72.421
7;106.023;11.218;34.633;13.886;99.881;8.75;0.0;51.347
8;128.173;60.861;23.083;39.013;80.255;27.817;0.0;58.844
9;114.542;15.745;39.699;39.013;98.679;5.356;0.0;68.368
10;113.861;51.117;22.881;43.269;87.865;22.427;0.0;68.571
11;106.704;7.305;38.889;13.076;91.069;8.75;0.0;54.791
12;115.564;57.025;18.423;34.961;81.857;18.114;0.0;60.465
13;115.564;13.29;38.484;40.027;99.48;8.051;0.0;61.276
14;98.867;21.346;32.81;23.208;98.279;11.735;0.0;68.976
15;104.319;14.748;32.202;15.102;104.287;19.981;0.0;53.17
16;123.743;42.907;26.123;33.542;85.862;42.462;0.0;64.721
17;109.09;8.456;40.105;35.771;91.47;26.54;0.0;63.302
18;102.956;33.316;21.867;34.758;89.868;45.068;0.0;68.166
19;111.816;15.438;39.497;14.697;86.263;25.372;0.0;51.752
20;125.788;48.662;27.136;33.947;92.271;46.685;0.0;74.65
21;108.408;37.536;29.162;44.282;79.854;27.817;0.0;68.368
22;100.57;32.395;23.083;32.732;86.663;37.431;0.0;62.086
23;99.889;11.371;34.228;11.049;100.281;7.782;0.0;55.805
24;122.38;47.204;28.352;31.313;88.265;33.747;0.0;64.518
25;107.727;13.213;35.647;38.405;86.663;19.442;0.0;55.602
26;107.045;39.07;25.11;35.771;87.064;34.107;0.0;71.205
27;109.09;18.814;34.431;16.723;90.669;16.656;0.0;47.902
28;124.084;53.112;27.541;31.921;81.456;9.938;0.0;56.615
29;108.408;10.834;38.889;38.608;83.058;26.809;0.0;49.32
30;110.112;60.171;16.194;43.471;79.854;17.934;0.0;61.276
31;115.564;13.366;42.334;16.115;96.677;37.591;0.0;43.849
32;118.972;33.316;30.581;28.071;92.671;44.259;0.0;71.002
33;112.838;19.735;34.836;43.471;91.069;25.911;0.0;57.628
34;118.631;61.475;19.638;45.903;85.862;18.473;0.0;71.205
35;99.548;4.159;42.131;5.578;100.682;29.594;0.0;54.589
36;110.794;29.94;35.647;18.142;84.26;9.579;0.0;53.981
37;115.905;19.965;37.47;40.837;86.663;22.317;0.0;54.184
38;99.207;19.275;36.457;20.168;106.29;6.684;0.0;72.218
39;116.246;18.507;35.849;21.384;97.878;25.461;0.0;58.642
40;116.246;42.37;22.475;31.718;87.064;50.099;0.0;73.839
41;106.023;9.683;38.078;34.353;92.671;9.848;0.0;60.871
42;106.704;45.592;16.599;41.445;76.65;44.259;0.0;62.492
43;102.615;5.003;40.105;6.997;101.083;5.266;0.0;60.871
44;126.128;56.258;24.502;35.366;91.069;14.969;0.0;66.544
45;107.386;9.223;39.294;35.974;86.663;27.618;0.0;54.589
46;111.816;47.971;20.246;41.648;85.061;41.474;0.0;71.002
47;115.564;9.3;41.928;15.507;89.467;34.895;0.0;40.607
48;121.698;46.283;30.175;28.274;76.65;9.04;0.0;51.144
49;112.838;11.141;39.497;36.987;85.862;31.122;0.0;47.294
50;101.593;21.5;32.404;24.221;90.669;9.129;0.0;65.936
51;109.771;12.753;36.457;16.318;95.074;31.751;0.0;50.131
52;125.447;46.36;24.096;35.163;80.255;27.188;0.0;68.976
53;116.928;8.379;41.32;38.405;88.666;11.984;0.0;51.955
54;116.587;38.917;32.202;35.568;91.47;7.602;0.0;62.289
55;105.0;10.144;37.268;12.468;94.273;29.055;0.0;41.823
56;128.173;58.022;27.744;32.934;77.851;18.473;0.0;59.452
57;117.609;10.681;42.334;39.621;89.467;26.09;0.0;50.333
58;118.972;49.582;24.907;43.066;90.669;14.161;0.0;67.355
59;111.475;14.748;37.876;16.723;93.472;28.067;0.0;48.104
60;118.972;54.033;25.515;32.732;85.862;14.79;0.0;67.558
61;128.173;65.465;24.704;58.669;97.478;4.907;0.0;70.192
62;104.66;23.955;33.012;26.45;98.279;8.86;0.0;65.734
63;116.246;18.047;35.039;21.181;85.462;25.282;0.0;43.039
64;120.335;51.117;22.07;33.339;78.652;39.587;0.0;62.897
65;117.609;11.909;41.118;38.0;90.669;28.157;0.0;52.36
66;109.43;55.183;19.436;39.216;75.448;16.587;0.0;54.589
67;107.386;10.758;37.065;13.684;94.273;29.594;0.0;53.373
68;122.721;44.902;27.339;32.124;81.456;34.286;0.0;62.492
69;112.497;20.042;34.836;42.458;84.661;16.746;0.0;53.778
70;102.615;21.576;33.215;25.031;89.467;5.176;0.0;68.773
71;108.067;16.436;32.607;19.358;93.072;34.536;0.0;52.765
72;119.994;46.82;23.083;33.137;85.462;55.221;0.0;67.963
73;119.994;15.285;38.078;42.863;87.064;8.93;0.0;53.17
74;114.201;46.743;22.678;41.85;100.682;17.665;0.0;76.474
75;105.341;9.76;37.268;11.049;86.663;30.133;0.0;49.32
76;119.313;52.498;24.502;31.11;90.268;28.896;0.0;66.544
77;108.067;12.292;37.065;35.771;89.066;21.868;0.0;55.399
78;113.861;59.173;18.828;42.458;96.677;15.688;0.0;68.976
79;109.43;8.379;40.307;9.428;91.87;23.215;0.0;46.483
80;132.262;64.007;20.854;41.242;79.454;25.212;0.0;63.505
81;113.52;10.374;38.889;31.921;110.695;3.719;0.0;68.368
82;128.514;59.71;21.259;45.7;89.467;30.243;0.0;62.897
83;103.978;5.156;39.699;6.389;109.894;13.422;0.0;59.047
84;122.38;59.404;18.828;38.203;87.865;33.029;0.0;69.584
85;113.179;14.824;35.849;34.758;98.679;1.472;0.0;55.602
86;133.625;69.532;17.409;50.564;86.263;35.185;0.0;73.637
87;107.386;5.233;43.752;6.997;99.48;7.672;0.0;65.936
88;130.899;60.938;20.854;42.256;86.663;33.029;0.0;66.139
89;112.157;10.374;37.876;33.137;99.08;4.437;0.0;63.505
90;120.676;55.414;18.828;42.863;93.072;37.161;0.0;74.245
91;108.749;8.763;39.699;10.847;111.096;8.66;0.0;63.91
92;137.033;57.409;17.815;48.335;76.249;32.489;0.0;62.897
93;111.134;25.183;30.175;39.013;99.08;36.263;0.0;74.042
94;129.877;50.273;20.044;47.524;86.663;38.599;0.0;66.747
95;104.66;4.696;41.726;6.389;101.083;16.317;0.0;62.897
96;134.307;65.081;20.246;45.7;79.854;32.939;0.0;61.681
97;118.291;10.067;40.915;34.555;95.876;8.66;0.0;57.426
98;136.011;66.769;17.815;53.806;91.87;41.654;0.0;68.368
99;108.408;7.228;41.118;9.428;99.08;16.567;0.0;57.223
100;127.832;56.334;20.044;40.634;84.661;39.318;0.0;69.584
101;117.268;16.436;37.268;35.568;92.671;10.297;0.0;62.694
102;126.128;52.575;22.678;43.269;86.663;34.376;0.0;70.597
103;107.727;8.916;39.294;11.049;96.276;16.117;0.0;51.347
104;123.402;60.324;18.017;40.432;87.865;33.029;0.0;71.813
105;118.972;32.318;31.391;42.661;91.47;20.18;0.0;63.1
106;132.944;60.785;19.638;49.145;91.47;37.251;0.0;77.487
107;101.933;5.77;40.307;5.578;99.48;16.926;0.0;59.857
108;133.625;57.332;18.22;45.498;83.459;31.591;0.0;63.505
109;111.816;6.461;40.307;30.503;105.088;7.672;0.0;60.465
110;133.285;60.938;15.991;53.806;82.257;37.97;0.0;67.76
111;102.274;2.318;43.752;4.362;98.679;13.063;0.0;56.21
112;127.492;57.485;21.462;40.027;81.857;34.107;0.0;68.571
113;110.453;9.837;37.876;32.934;101.483;8.75;0.0;56.007
114;124.084;56.258;20.652;43.877;90.268;35.904;0.0;72.016
115;113.52;6.538;42.131;13.076;97.077;15.848;0.0;49.523
116;134.307;57.255;18.22;47.119;78.252;36.802;0.0;67.558
117;104.66;3.929;41.928;26.247;104.687;5.246;0.0;72.421
118;127.492;56.104;18.828;47.929;83.058;27.728;0.0;71.813
119;105.0;4.466;42.536;5.984;113.499;3.02;0.0;60.871
120;123.402;50.273;21.057;37.595;82.257;29.435;0.0;72.624
121;113.52;8.686;38.281;33.339;97.077;4.727;0.0;59.452
122;126.469;47.05;23.083;44.079;87.064;37.521;0.0;68.166
123;107.386;10.067;39.091;12.671;90.268;2.75;0.0;48.104
124;132.944;67.92;19.638;44.89;88.666;28.356;0.0;67.963
125;117.609;35.004;29.568;43.471;92.671;23.235;0.0;67.76
126;126.469;58.56;20.044;44.485;83.459;36.533;0.0;63.707
127;116.246;6.231;44.157;12.265;106.29;20.43;0.0;58.844
128;134.648;70.452;14.775;49.753;81.056;42.552;0.0;65.126
129;122.38;31.091;33.823;42.458;90.268;25.032;0.0;76.676
130;127.492;61.552;18.22;47.524;83.459;39.497;0.0;72.218
131;103.297;5.31;39.902;7.199;101.483;18.723;0.0;53.778
132;135.67;75.823;11.533;53.603;81.456;45.697;0.0;73.434
133;122.039;15.054;38.281;39.824;103.085;4.637;0.0;64.315
134;124.765;57.332;19.03;45.7;87.865;48.033;0.0;78.5
135;117.95;8.149;42.739;17.331;92.271;20.789;0.0;49.726
136;126.128;55.49;27.541;36.379;77.851;17.126;0.0;60.263
137;116.587;16.512;38.889;42.256;83.459;25.461;0.0;52.562
138;107.386;51.731;20.044;41.85;84.661;13.712;0.0;63.1
139;108.749;8.379;41.523;12.468;101.083;32.29;0.0;53.576
140;125.788;56.258;22.881;38.608;75.849;44.619;0.0;71.205
141;117.95;17.126;36.052;43.066;77.05;3.469;0.0;55.602
142;108.067;26.64;33.62;26.45;77.851;12.274;0.0;52.968
143;108.067;16.742;34.633;15.71;89.066;23.125;0.0;52.968
144;131.24;39.914;28.352;34.555;72.644;32.13;0.0;63.707
145;113.179;17.049;36.052;39.216;86.263;22.407;0.0;55.399
146;123.061;65.465;13.154;54.008;81.456;40.126;0.0;75.258
147;104.66;5.08;42.739;6.794;93.472;1.852;0.0;55.399
148;118.631;36.999;25.312;31.11;77.05;45.158;0.0;59.047
149;120.335;38.764;25.515;52.387;83.459;48.123;0.0;69.787
150;110.453;46.36;19.233;42.458;81.857;51.177;0.0;69.179
151;112.838;5.08;44.765;10.644;90.268;15.688;0.0;60.06
152;120.676;62.319;17.612;37.595;77.851;35.724;0.0;73.231
153;120.335;11.218;39.699;41.85;91.47;18.903;0.0;60.465
154;121.698;54.416;21.259;47.119;83.058;35.904;0.0;72.826
155;105.682;11.985;33.418;33.947;89.868;2.82;0.0;55.602
