;vertical_force_1;side_force_1;internal_force_1;external_force_1;vertical_force_2;side_force_2;internal_force_2;external_force_2
0;101.598;25.372;41.497;94.421;384.117;-1.066;18.482;-104.118
1;114.398;8.189;61.152;80.642;88.261;1.243;10.174;51.101
2;100.845;23.546;42.307;91.179;1299.904;-1.171;16.253;-17.187
3;132.47;-12.812;67.839;73.752;105.457;6.387;5.311;55.357
4;187.437;-27.089;76.147;66.457;221.418;1.033;-3.605;8.953
5;164.095;15.826;51.628;80.439;262.424;1.558;2.879;-67.441
6;163.718;-30.326;79.998;62.202;713.042;1.558;3.893;26.177
7;150.918;15.162;49.602;77.399;80.325;1.768;-2.389;-33.803
8;170.495;-14.887;71.892;78.007;139.408;4.078;-2.592;-67.644
9;150.541;17.154;50.413;82.871;1356.782;1.663;-2.592;40.362
10;169.742;-16.298;72.095;79.426;310.484;2.818;3.285;94.871
11;146.4;15.66;51.831;80.642;343.112;1.873;4.095;103.584
12;148.659;-8.412;69.055;79.223;518.156;3.658;-4.618;-39.68
13;101.974;22.052;45.144;89.558;362.071;1.873;6.527;10.574
14;137.741;-9.657;68.042;81.655;300.784;4.603;6.324;38.741
15;110.633;8.189;61.76;79.628;812.248;-11.564;3.487;-157.007
16;174.26;-30.907;79.187;60.581;161.013;4.078;6.122;33.067
17;182.543;13.336;59.329;81.25;59.601;6.072;5.716;162.552
18;175.013;-29.911;74.324;69.294;677.768;3.553;-2.592;139.654
19;126.823;16.241;51.628;82.263;577.239;1.768;-2.592;85.752
20;173.131;-24.848;74.121;66.254;420.713;3.133;13.011;143.909
21;184.049;17.652;62.976;86.113;412.777;1.978;6.729;17.869
