;vertical_force_1;side_force_1;internal_force_1;external_force_1;vertical_force_2;side_force_2;internal_force_2;external_force_2
0;201.445;34.956;73.294;89.174;130.064;-13.989;39.578;39.789
1;196.54;17.333;79.17;80.664;200.793;-22.221;55.586;54.582
2;168.748;23.498;68.836;74.585;155.429;-9.819;46.265;42.829
3;182.235;17.956;80.386;73.774;126.162;14.666;46.265;38.574
4;181.009;22.439;73.699;76.206;151.527;-5.756;47.076;43.842
5;165.07;17.022;69.849;72.558;159.331;-11.315;51.331;45.261
6;160.165;22.315;71.876;67.29;144.698;-9.712;44.036;43.234
7;187.957;24.432;77.549;78.232;164.697;-14.523;49.507;44.45
8;176.105;22.813;67.012;81.474;169.087;-11.743;49.507;49.111
9;195.723;19.637;80.386;79.853;165.185;-21.687;41.199;53.974
10;170.792;26.051;75.32;74.179;120.309;-17.517;35.12;45.666
11;198.992;23.56;73.294;87.756;160.307;-8.856;49.71;46.071
12;112.347;-11.499;55.462;51.079;120.309;30.277;48.899;32.697
13;107.442;-14.987;57.083;41.757;119.821;30.277;47.076;39.384
14;125.017;-11.749;64.175;55.537;129.576;34.019;52.952;36.952
15;127.06;-10.254;58.907;50.471;135.918;32.629;52.547;38.776
16;119.703;-14.489;58.502;45.405;135.43;-7.894;40.186;41.005
17;106.216;-4.276;49.788;46.823;135.918;-4.9;42.82;40.6
18;126.651;-10.939;61.744;56.955;146.161;11.566;48.697;41.613
19;111.938;-16.045;58.704;41.96;148.112;-7.573;43.023;44.855
20;113.164;-16.481;58.299;46.823;136.893;-9.07;38.97;39.181
21;117.251;-14.8;58.502;48.242;130.552;10.603;43.023;39.181
22;125.017;-7.078;62.554;55.334;135.918;26.962;51.331;38.371
23;122.973;-15.236;57.894;47.229;148.6;14.987;47.683;42.424
24;117.251;-9.133;58.907;50.673;128.601;5.043;39.375;39.181
25;113.982;-14.426;57.286;46.418;130.064;17.339;45.454;39.587
26;122.156;-7.825;63.162;50.471;142.747;-15.058;39.781;46.882
27;111.938;-12.807;56.678;41.757;159.331;-7.894;45.86;47.692
28;114.39;15.465;48.978;60.805;133.479;10.39;42.82;37.56
29;101.312;6.809;55.057;55.739;157.38;10.603;49.102;45.666
30;128.286;18.454;51.815;61.818;121.772;19.478;47.886;39.384
31;111.938;-8.51;59.109;45.0;141.283;8.358;42.212;44.653
32;118.069;-27.939;63.77;45.81;126.65;13.704;43.225;39.384
33;121.338;-26.383;61.541;47.229;129.576;19.799;47.886;37.358
34;117.251;20.26;44.52;69.721;129.576;-14.63;35.728;50.326
35;116.025;-27.254;61.744;38.921;151.039;13.811;50.926;41.816
36;114.39;4.505;41.48;64.655;150.551;-9.07;40.388;47.692
37;111.121;16.772;43.506;62.832;129.089;-12.171;35.323;48.097
38;120.521;13.783;48.572;68.708;118.845;-12.705;31.067;46.071
39;120.521;-7.016;59.515;47.837;129.089;14.239;45.86;38.979
40;117.251;14.157;51.815;59.589;137.381;-7.573;38.565;47.49
41;110.712;-22.522;55.259;45.81;129.089;26.749;53.357;36.142
42;121.338;-13.119;62.554;52.092;125.674;24.182;49.102;39.181
43;119.295;-12.122;58.907;45.0;145.673;13.383;47.886;45.463
44;113.573;-12.434;57.691;50.876;121.772;10.71;40.794;36.952
45;105.807;-5.397;52.22;47.634;117.382;23.648;46.873;37.155
46;117.251;-15.859;63.162;51.484;123.235;16.805;44.239;38.168
47;111.529;10.981;53.436;50.673;128.113;16.484;41.604;43.639
48;124.199;-16.793;62.352;52.497;143.234;-7.787;42.01;41.208
49;117.251;-12.184;56.475;50.673;128.601;9.0;42.618;38.776
50;125.425;-24.764;67.215;50.471;146.161;5.899;45.454;44.247
51;118.886;-17.851;58.907;44.594;133.966;14.453;44.441;42.018
52;113.164;4.816;56.273;55.334;121.284;29.315;46.873;35.129
53;116.025;-13.368;58.096;47.837;135.918;7.61;43.225;41.613
54;131.147;-11.873;66.202;57.36;129.576;24.289;48.291;38.168
55;117.66;5.75;54.044;51.484;131.04;27.39;49.305;38.168
56;118.069;-25.511;63.973;47.229;115.919;25.893;44.847;35.534
57;111.938;-19.034;58.096;47.026;126.65;21.83;46.468;38.371
58;120.93;-10.877;63.162;55.739;131.528;32.843;53.357;38.776
59;118.886;-24.016;64.783;42.163;132.991;25.465;46.265;43.639
60;121.747;-14.177;56.475;54.524;124.699;-6.183;37.349;41.816
61;114.39;-9.258;55.462;50.268;126.162;13.704;44.441;36.345
62;115.616;-11.499;62.352;51.687;126.162;17.446;46.468;39.789
63;119.703;-15.36;59.312;45.202;136.893;21.082;48.697;43.234
64;124.608;-15.111;61.541;49.66;134.454;-5.435;40.794;41.613
65;117.66;8.677;52.422;56.955;116.894;25.145;45.049;37.56
66;118.886;-7.763;58.502;60.197;118.357;25.145;46.062;36.75
67;113.164;-12.62;59.717;43.986;135.43;8.358;42.212;45.058
68;136.46;-23.331;71.065;53.105;143.722;17.233;46.873;40.6
69;135.643;-27.005;67.823;51.484;137.381;17.126;50.723;41.208
70;128.286;-21.837;66.607;51.484;137.381;15.629;47.278;43.234
71;125.425;-26.258;63.162;45.608;142.747;17.446;48.899;43.639
72;133.191;-11.25;63.77;55.942;147.137;12.421;46.468;45.058
73;132.782;-22.024;65.796;52.295;153.966;23.113;55.384;43.842
74;133.599;22.564;50.193;74.99;127.625;-7.146;36.741;49.719
75;132.373;-19.657;64.783;49.66;137.869;26.749;52.952;41.816
76;129.104;-22.709;66.404;51.079;134.942;22.899;47.886;39.789
77;125.834;-24.39;64.378;49.66;146.649;21.509;53.155;41.816
78;138.504;-21.712;68.431;55.942;128.601;28.138;50.723;38.979
79;136.052;-24.826;67.418;49.863;146.161;22.579;50.52;42.829
80;128.695;-17.54;66.81;53.51;132.015;30.063;49.507;37.56
81;129.104;-24.764;68.633;48.647;150.063;13.918;51.128;45.666
82;138.095;-11.686;67.215;60.805;126.65;22.792;47.886;37.56
83;132.782;-19.159;64.783;50.268;135.918;18.302;48.089;42.829
84;134.008;19.45;58.502;67.087;140.795;8.037;39.578;48.908
85;136.869;-11.873;65.999;55.334;138.357;22.365;54.168;40.6
86;125.834;15.465;51.409;69.721;132.991;-8.322;37.754;50.326
87;133.599;-16.606;65.796;51.889;142.259;13.17;48.697;41.816
88;130.33;-14.053;66.607;53.308;143.722;15.949;47.481;44.247
89;126.651;-20.778;65.391;50.066;144.21;28.887;55.384;42.626
90;134.008;-20.903;68.228;55.334;129.089;29.208;50.926;38.574
91;124.608;-20.591;63.973;47.634;140.308;24.61;50.318;43.437
92;125.017;19.077;52.422;67.29;135.918;-7.466;38.565;49.111
93;124.608;-21.774;66.202;48.647;150.551;16.484;53.56;44.045
94;133.599;25.678;51.815;72.964;123.723;10.603;40.186;44.247
95;130.738;-18.723;63.365;49.255;146.161;17.553;52.749;44.653
96;133.191;-8.386;63.162;54.929;135.918;36.051;52.141;39.181
97;139.321;-11.188;63.365;60.603;132.015;9.962;44.644;45.868
98;129.104;-18.225;67.823;52.092;140.795;18.943;48.291;43.639
99;129.104;-22.709;64.175;48.444;146.161;22.579;52.547;43.842
100;137.686;-14.551;68.228;55.537;135.43;28.78;50.318;38.979
101;140.547;-20.155;69.849;54.321;132.991;27.283;51.534;40.195
102;133.599;-20.716;68.836;53.916;138.357;31.132;52.547;42.018
103;121.338;-21.712;63.77;45.81;152.014;22.686;52.749;46.476
104;125.834;-26.009;69.444;46.621;137.381;35.195;52.952;41.816
105;130.33;-14.675;63.973;54.524;139.82;29.849;54.776;39.587
106;126.651;-15.609;64.783;53.105;132.991;31.56;51.736;39.789
107;124.608;-12.683;63.77;48.85;139.82;22.686;48.494;43.234
108;131.147;-4.961;63.77;54.726;147.624;19.906;48.899;44.855
109;138.095;-17.478;66.607;55.131;152.502;21.83;54.37;42.829
110;118.069;-12.62;65.189;48.444;150.063;22.792;51.736;47.287
111;128.695;-17.664;62.352;49.255;137.869;20.44;49.507;42.018
112;128.286;-18.536;65.391;51.687;151.527;21.616;51.331;43.234
113;128.695;-30.43;69.039;47.229;159.331;27.069;57.005;45.058
114;122.564;-13.928;64.175;51.281;140.308;15.201;45.252;45.868
115;124.608;-15.111;60.933;48.242;134.942;21.296;50.318;42.018
116;131.965;-17.415;67.823;50.268;146.161;26.642;50.926;43.639
117;134.008;-11.998;65.796;54.929;146.649;29.528;56.194;42.829
118;122.564;-24.95;67.418;47.837;144.21;24.503;50.52;44.855
119;122.156;-11.749;60.731;48.647;139.82;20.547;50.318;43.842
120;133.599;-18.349;67.215;54.726;141.283;33.057;52.749;40.6
121;130.738;-21.152;68.431;50.268;150.063;29.849;56.194;44.45
122;125.017;-22.646;66.202;49.66;142.747;25.679;51.736;42.424
123;132.782;-22.335;65.189;48.85;139.332;23.648;50.52;43.032
124;130.33;-12.807;63.567;54.321;142.259;30.812;53.155;40.803
125;122.973;-23.705;67.62;46.215;158.843;23.327;56.802;48.503
126;119.703;-11.001;59.717;55.537;148.112;-5.756;44.036;49.313
127;123.382;-18.661;62.352;48.039;140.795;22.686;49.71;42.626
128;132.373;-15.298;66.202;52.7;144.698;29.635;53.763;42.221
129;130.33;-25.386;68.633;47.837;150.063;24.931;53.965;46.274
130;121.338;-18.599;64.783;50.673;135.918;21.082;48.291;42.626
131;127.06;-21.712;63.973;48.039;142.747;22.151;52.141;43.842
132;141.365;-20.654;71.47;53.308;144.21;27.711;51.939;42.424
133;141.365;-24.452;71.065;52.295;145.673;23.327;55.384;44.45
134;129.104;-7.825;63.567;55.537;144.21;29.422;54.978;42.829
135;130.33;-22.273;66.81;47.837;141.283;22.686;49.507;44.045
136;134.008;-20.778;70.254;51.889;148.6;20.547;49.912;43.842
137;137.278;-22.459;67.823;52.092;152.014;27.069;56.194;44.045
138;124.199;20.011;53.638;66.884;135.43;-10.353;38.767;51.948
139;129.921;-28.687;67.418;47.229;138.357;15.843;49.507;43.437
140;135.643;-13.679;66.202;54.524;132.015;32.629;51.534;40.195
141;138.913;-16.917;70.052;52.902;150.063;30.17;56.194;44.247
142;124.199;-8.261;63.567;54.321;144.21;29.742;55.384;43.437
143;125.017;-14.8;64.175;48.242;135.918;18.943;49.102;44.45
144;128.695;-17.851;64.986;49.863;155.917;13.597;49.71;45.666
145;131.556;-22.771;67.823;50.471;152.502;16.805;52.952;46.071
146;126.243;-12.122;64.986;51.687;148.112;13.276;48.494;48.3
147;123.79;-17.914;62.352;46.823;146.161;16.912;50.52;44.855
148;132.782;-13.492;65.189;51.889;143.234;23.862;50.318;42.626
149;129.921;-14.489;64.783;51.687;147.624;25.038;56.194;44.247
150;133.599;-6.269;65.999;57.766;140.795;43.963;58.423;40.6
151;130.738;-14.987;63.365;49.863;139.332;17.446;47.886;43.437
152;136.46;-11.811;66.81;54.929;147.137;27.39;53.56;42.221
153;137.278;-18.848;69.647;51.889;149.088;19.371;53.357;45.261
154;125.017;12.351;60.325;56.55;137.869;31.988;54.573;42.829
155;123.382;-7.95;59.717;50.471;140.308;19.478;50.318;43.639
156;129.921;-19.097;66.607;51.079;139.332;33.698;54.573;43.234
157;133.191;-23.643;70.052;50.471;153.478;28.352;55.181;45.868
158;119.703;-21.712;65.796;48.444;139.82;21.83;49.305;43.639
159;127.469;-21.339;63.365;48.444;141.771;22.472;50.52;43.842
160;130.33;-10.254;63.567;52.7;145.185;31.881;53.155;41.005
161;130.33;-22.895;68.025;49.052;153.478;27.39;55.992;46.071
162;130.33;-15.609;65.999;52.7;146.161;14.346;48.494;45.463
163;133.599;-22.086;66.202;49.66;139.82;16.377;48.899;43.437
164;115.616;-6.767;59.312;48.242;107.626;36.371;45.86;36.547
165;111.938;-6.704;52.828;50.066;121.284;15.736;45.252;38.574
166;121.338;-7.389;62.352;54.118;118.845;25.679;47.076;38.776
167;124.199;11.977;56.273;56.145;135.918;12.207;45.86;41.816
