;vertical_force_1;side_force_1;internal_force_1;external_force_1;vertical_force_2;side_force_2;internal_force_2;external_force_2
0;85.48;10.489;58.008;22.419;133.831;4.123;198.056;220.846
1;260.815;46.296;83.946;75.51;118.222;1.771;194.003;262.387
2;90.384;10.925;37.137;13.3;107.491;4.016;206.769;252.458
3;244.466;9.804;108.06;59.096;324.066;1.664;198.664;230.978
4;99.785;12.73;29.234;-5.14;87.004;2.412;190.356;239.084
5;250.597;46.171;83.743;68.215;103.101;2.519;177.59;217.199
6;81.801;18.522;51.929;19.987;103.588;1.557;181.237;228.344
7;93.654;19.082;32.881;2.56;163.098;3.588;181.035;216.388
8;87.115;17.09;50.713;8.032;91.394;3.375;178.4;223.278
9;277.98;65.787;95.699;78.549;106.515;5.406;176.576;219.225
10;82.619;22.694;31.463;-1.695;91.882;2.947;174.347;221.049
11;87.115;22.196;63.074;17.961;83.101;5.085;183.669;211.322
12;278.798;38.574;105.628;72.47;86.028;5.62;176.779;226.925
13;98.558;27.676;35.921;-5.748;122.124;4.551;180.832;221.657
14;90.793;24.936;41.595;-9.192;175.292;5.192;174.753;207.878
15;96.515;25.808;48.282;1.953;101.637;3.802;181.845;235.234
16;251.006;29.42;106.641;44.912;93.345;3.482;158.947;201.393
17;112.046;31.226;37.947;-9.8;176.268;4.765;171.308;210.714
18;83.845;27.614;52.334;8.437;98.71;3.268;171.105;231.383
19;231.388;38.885;87.999;47.141;90.906;4.444;167.053;210.309
20;102.237;32.035;33.084;-10.408;93.833;2.199;165.026;222.67
21;89.158;29.046;40.987;-9.598;106.515;4.872;166.445;220.644
22;86.706;28.859;50.105;6.816;170.415;2.412;149.221;190.248
23;275.937;25.932;121.839;51.801;87.491;3.375;157.934;212.741
24;105.098;35.709;38.353;-9.8;138.709;4.551;161.176;209.701
25;88.749;34.152;32.071;-20.945;150.415;4.551;185.695;245.365
26;93.654;36.581;28.626;-17.501;90.906;1.878;151.855;212.336
27;96.924;36.332;44.229;-9.192;131.88;3.909;157.326;214.362
28;93.654;33.343;66.316;15.732;95.784;5.62;175.969;228.547
29;271.032;47.728;111.504;57.07;109.442;2.519;150.031;201.191
30;87.932;38.138;60.237;11.477;137.245;3.909;164.216;211.728
31;100.602;39.196;37.745;-8.787;90.906;8.293;171.713;229.56
32;91.61;34.277;48.079;-10.003;114.807;4.978;157.326;205.649
33;262.041;43.556;108.262;52.004;101.149;5.513;168.268;219.225
34;83.845;37.453;63.479;13.706;168.951;4.016;153.679;195.517
35;104.28;41.563;41.797;-9.8;113.832;6.155;177.184;214.565
36;84.662;36.207;39.771;-15.474;96.272;3.588;160.771;217.199
37;83.028;36.021;54.158;18.366;149.44;4.23;173.942;205.649
38;281.659;52.212;93.47;75.915;164.561;2.305;160.366;199.164
39;86.297;41.501;42.608;24.648;186.511;7.545;167.255;185.182
40;87.115;38.262;26.802;6.411;156.269;6.155;184.479;205.649
41;103.054;41.874;29.436;-9.192;119.197;4.978;181.44;218.415
42;96.924;40.068;40.987;-14.461;128.465;5.62;154.489;178.901
43;289.424;45.548;119.61;68.215;135.294;5.299;160.163;174.848
44;92.837;41.563;52.132;-3.113;133.343;3.909;180.832;201.191
45;101.011;42.248;34.097;-14.664;96.272;4.016;168.268;196.733
46;243.24;33.779;97.117;55.449;116.271;2.199;156.718;168.161
47;83.028;37.702;22.547;-19.122;110.417;3.161;187.722;199.367
48;84.662;36.955;32.476;-8.179;101.637;4.337;171.105;198.151
49;82.21;37.328;39.568;-4.127;114.32;5.085;183.669;185.993
50;231.797;18.024;98.738;35.59;87.979;2.84;182.25;205.243
51;250.188;30.727;108.06;52.206;106.515;4.872;171.105;191.261
52;92.019;41.75;29.436;-16.69;304.067;1.985;185.493;162.69
53;89.158;40.131;50.308;4.992;144.074;1.664;172.118;172.821
