;vertical_force_1;side_force_1;internal_force_1;external_force_1;vertical_force_2;side_force_2;internal_force_2;external_force_2
0;110.57;56.902;20.939;40.011;116.493;61.973;-36.522;96.672
1;128.543;17.152;-38.231;53.382;90.797;-14.875;44.735;35.069
2;109.768;58.184;10.606;51.158;119.064;40.282;-17.066;95.858
3;105.778;4.714;-13.506;-10.851;104.374;-21.761;27.513;18.046
4;109.376;51.154;20.533;17.925;117.59;28.248;-24.163;60.807
5;117.765;9.446;-40.663;43.455;97.773;-17.577;42.71;44.39
6;107.773;32.563;-5.812;36.16;109.155;48.52;-10.385;83.3
7;115.361;11.406;-4.392;12.455;105.111;-19.636;28.725;11.364
8;111.763;42.097;15.063;17.518;107.682;24.708;-25.781;56.55
9;98.598;9.039;-27.292;42.235;110.99;-25.301;50.612;45.809
10;115.361;57.644;19.321;62.296;89.699;43.889;-20.718;74.179
11;110.978;5.727;-6.418;8.197;112.824;-9.081;27.305;20.685
12;121.756;54.13;20.74;31.902;115.034;45.497;-31.658;65.671
13;135.723;11.337;-34.579;59.665;78.317;-5.219;38.452;27.973
14;116.555;66.568;30.061;74.456;111.351;57.275;-30.239;100.116
15;119.761;8.095;-17.564;3.939;102.54;-5.414;22.848;19.465
16;113.366;46.895;7.568;12.048;107.682;22.327;-20.718;49.86
17;119.761;13.095;-39.244;44.269;95.202;-23.047;44.935;37.302
18;108.182;52.508;15.47;55.208;110.253;26.832;-7.953;80.869
19;112.974;7.959;-12.701;3.74;117.23;-24.655;30.351;22.71
20;115.361;45.882;27.828;50.751;104.75;35.005;-31.658;64.451
21;128.134;18.367;-30.529;59.059;93.007;-19.636;50.413;31.625
22;119.352;88.742;39.174;86.01;106.584;52.448;-34.696;102.341
23;115.77;7.754;-23.64;-10.445;107.321;-7.857;22.043;24.736
24;118.55;67.582;18.507;25.826;109.516;35.906;-35.102;63.239
25;120.153;15.529;-39.244;45.68;95.939;-13.33;40.278;44.589
26;110.978;73.056;31.074;69.8;118.703;63.196;-29.226;108.018
27;114.167;6.336;-16.552;-5.988;106.945;6.623;19.205;24.528
28;102.589;54.67;25.197;16.912;119.801;64.483;-43.817;83.699
29;102.981;10.459;-32.355;41.223;99.608;-4.254;42.71;43.784
30;105.385;51.087;8.987;45.481;107.682;53.413;-19.299;90.389
31;107.773;5.592;-8.443;-3.357;112.824;-8.951;28.725;21.49
32;113.759;75.963;47.283;45.481;117.59;72.462;-53.337;85.932
33;105.778;5.187;-44.921;32.914;117.23;5.529;37.639;61.206
34;128.134;71.436;24.384;77.494;99.984;53.026;-30.645;92.414
35;105.778;8.432;-5.604;6.778;112.463;3.404;26.5;23.922
36;113.366;66.297;30.459;33.122;109.155;33.075;-33.077;61.82
37;132.926;14.042;-41.269;54.196;93.368;-17.899;40.685;40.34
38;112.565;62.038;15.669;60.678;115.395;31.145;-16.261;92.621
39;113.759;5.727;-14.925;-4.568;107.682;-22.082;26.5;21.291
40;102.589;33.712;3.509;-6.594;115.034;17.951;-15.041;56.143
41;112.974;12.96;-33.974;48.925;104.75;-26.973;54.255;39.725
42;126.94;85.427;34.311;85.196;104.013;33.976;-19.299;86.944
43;100.184;3.495;-13.713;-13.889;113.922;-21.632;27.92;29.193
44;140.122;81.778;28.235;50.544;106.945;41.313;-37.335;62.218
45;107.38;8.363;-39.443;39.198;90.797;-13.072;32.983;43.983
46;121.756;57.508;7.161;57.034;101.818;33.655;-9.978;74.585
47;102.981;6.267;-4.592;3.532;104.374;-20.988;26.5;17.639
48;106.186;32.699;5.941;-4.776;123.469;16.469;-10.584;53.711
49;121.347;15.529;-29.317;57.034;96.676;-27.489;52.031;31.019
50;113.759;45.68;-4.185;44.875;115.756;34.749;-9.372;87.758
51;102.18;8.363;8.174;9.002;111.727;-26.651;32.377;16.834
52;106.186;33.173;7.568;5.159;119.425;21.362;-13.016;54.931
53;127.349;14.787;-27.898;59.466;97.773;-22.726;50.811;34.87
54;121.347;69.813;19.52;67.774;110.629;30.373;-13.622;86.537
55;104.191;2.684;-13.713;-11.258;113.185;-23.369;29.538;28.379
56;122.95;82.656;34.311;46.692;99.984;28.185;-33.683;54.931
57;126.548;14.92;-44.714;44.875;99.247;-15.389;39.266;47.229
58;116.163;48.789;-3.986;47.913;110.99;20.395;-3.496;76.403
59;115.77;8.297;-4.185;13.061;109.155;-27.231;31.157;15.008
60;103.782;44.193;23.778;18.73;116.493;36.228;-27.201;66.476
61;124.945;17.489;-26.279;61.898;99.984;-25.944;52.637;33.849
62;116.163;44.531;-6.617;45.481;112.087;19.947;5.427;72.353
63;117.357;6.605;-5.812;13.866;112.087;-25.623;32.377;16.427
64;98.598;37.365;17.901;9.816;123.83;49.164;-21.731;67.29
65;114.167;19.046;-20.801;57.64;101.818;-23.82;56.687;33.243
66;116.555;90.566;45.657;84.789;102.916;66.541;-46.448;110.251
67;118.55;7.959;-29.923;-10.246;107.682;-17.385;21.636;23.922
68;115.361;55.75;14.864;14.679;124.206;46.461;-29.832;72.353
69;122.557;9.919;-42.689;42.85;105.111;-19.444;47.773;43.983
70;124.553;53.657;-9.663;45.887;111.351;28.954;-2.077;74.378
71;106.972;5.323;-7.43;2.727;102.54;-23.435;27.513;17.639
72;125.338;71.976;38.369;48.726;108.419;58.82;-47.669;75.797
73;126.548;12.148;-39.443;50.344;105.848;-18.22;47.167;42.772
74;124.553;53.048;10.199;60.678;118.703;51.225;-12.609;92.215
75;116.964;7.012;-9.455;6.977;113.922;-7.151;26.699;22.304
76;107.773;54.263;19.113;18.73;119.425;28.506;-24.57;63.638
77;121.347;12.42;-37.219;47.713;103.652;-24.27;47.574;42.564
