;vertical_force_1;side_force_1;internal_force_1;external_force_1;vertical_force_2;side_force_2;internal_force_2;external_force_2
0;116.663;25.784;18.18;-36.297;132.31;28.097;-7.614;86.14
1;117.072;8.207;32.979;-43.999;119.094;-26.288;60.67;33.858
2;121.864;18.416;45.745;-44.207;126.446;18.957;19.336;78.637
3;140.623;9.085;23.658;-47.244;109.186;-22.877;49.124;13.797
4;118.675;33.626;18.18;-36.911;128.281;36.527;-9.233;85.326
5;119.869;5.505;43.919;-35.284;120.567;-23.069;64.322;31.02
6;126.247;33.828;36.822;-66.492;120.207;22.948;10.621;78.844
7;139.429;7.734;23.044;-41.368;111.757;-24.229;51.556;9.34
8;112.673;15.035;17.574;-12.791;136.716;15.032;14.879;55.339
9;121.063;7.194;34.39;-48.863;120.928;-26.673;67.766;24.537
10;129.044;24.566;47.363;-60.823;122.402;14.647;23.187;70.536
11;141.031;8.409;23.044;-40.355;106.254;-26.931;48.518;4.269
12;112.673;20.645;18.18;-12.791;131.213;10.977;14.472;52.907
13;122.665;5.505;31.153;-53.528;119.47;-33.432;69.999;21.898
14;126.656;27.337;41.288;-65.073;120.928;19.474;11.227;80.67
15;144.613;8.614;22.438;-46.024;103.682;-31.244;52.569;-2.82
16;111.479;4.895;21.832;-11.173;135.618;11.17;21.768;49.869
17;120.67;3.409;34.39;-46.431;118.733;-33.495;68.978;24.537
18;126.247;39.507;29.535;-77.639;117.996;29.578;2.918;85.127
19;139.429;6.18;32.772;-28.395;105.517;-22.426;41.629;12.378
20;128.242;37.682;9.266;-38.123;119.831;29.32;-7.614;61.215
21;124.252;2.733;38.449;-47.244;119.831;-26.351;66.148;27.982
22;127.048;40.249;27.501;-76.419;118.357;31.508;-5.183;89.377
23;142.618;7.667;26.696;-47.651;104.78;-30.793;49.124;4.069
24;119.869;11.926;25.883;-18.269;129.739;8.723;20.348;45.81
25;127.048;4.895;36.424;-51.702;121.665;-20.559;64.928;27.774
26;131.039;39.507;29.327;-73.987;117.636;20.694;7.583;80.056
27;139.821;7.465;31.967;-41.974;103.322;-26.095;42.841;10.759
28;126.247;23.148;24.264;-22.112;131.574;23.399;-0.925;65.066
29;134.637;5.369;43.105;-44.406;112.493;-30.15;59.458;27.376
30;127.85;32.881;35.004;-76.021;115.801;21.662;8.396;78.238
31;141.833;7.598;25.476;-44.605;105.878;-26.222;46.286;7.107
32;113.082;22.337;15.956;-16.236;141.858;28.677;-7.415;78.844
33;131.84;7.734;33.992;-61.836;117.636;-30.922;66.953;22.919
34;132.249;33.354;42.499;-72.576;123.139;15.612;21.568;73.167
35;151.008;8.207;20.612;-56.765;109.561;-34.139;50.137;5.688
36;113.082;19.158;14.943;-27.383;144.429;28.611;-8.021;81.475
37;128.651;6.518;33.178;-57.578;120.207;-27.833;64.122;27.982
38;131.039;46.537;24.87;-78.452;121.304;32.281;-4.776;92.622
39;145.022;4.693;30.547;-46.838;109.186;-31.178;45.273;12.784
40;115.878;25.85;11.499;-26.577;141.858;26.038;-2.958;71.548
41;128.242;5.842;38.042;-55.553;123.875;-18.242;60.67;31.219
42;115.469;32.274;30.946;-74.8;132.31;26.874;-4.17;98.905
43;139.821;10.101;24.671;-47.444;117.26;-34.204;54.793;10.145
44;115.878;9.83;25.476;-18.468;141.121;17.8;9.201;66.278
45;124.252;3.677;40.067;-47.444;125.334;-26.673;63.716;31.625
46;123.859;27.271;38.042;-65.28;132.31;18.828;18.522;83.5
47;136.24;7.26;18.994;-50.481;115.064;-32.852;50.544;12.577
48;122.256;12.601;24.264;-16.443;143.692;24.106;5.757;71.142
