;vertical_force_1;side_force_1;internal_force_1;external_force_1;vertical_force_2;side_force_2;internal_force_2;external_force_2
0;84.547;6.783;31.761;72.104;90.217;64.895;29.238;36.205
1;90.746;-30.596;75.936;55.893;101.445;118.67;46.259;58.293
2;80.535;5.249;33.788;71.699;109.465;180.843;27.617;70.045
3;92.935;-30.805;59.928;41.708;93.425;197.204;24.983;31.544
4;96.218;-8.211;30.14;64.404;91.42;218.937;21.944;23.844
5;85.641;-31.433;74.315;51.84;104.653;187.078;47.475;60.522
6;82.724;-8.071;40.474;69.267;115.079;147.565;35.115;68.627
7;92.935;-35.059;62.765;38.466;89.416;182.572;24.375;28.1
8;89.289;-8.001;31.356;57.109;92.624;160.222;21.538;24.453
9;84.912;-33.107;72.896;52.651;111.469;164.605;52.339;58.698
10;84.183;-9.884;43.919;71.091;111.069;95.58;41.396;56.469
11;91.841;-35.268;67.425;37.048;92.624;155.159;22.551;35.8
12;92.206;-7.374;32.572;61.364;88.212;129.413;18.093;28.302
13;90.017;-24.947;70.667;61.972;104.252;90.764;52.744;53.024
14;83.454;-6.049;44.122;70.28;108.262;93.665;29.441;70.45
15;94.394;-33.804;67.223;41.303;88.212;66.376;25.388;28.911
16;79.442;-9.675;32.167;44.951;95.03;92.307;23.565;28.911
17;86.736;-26.342;69.249;58.932;107.861;83.602;53.352;54.848
18;87.465;-11.976;50.403;67.848;102.247;118.917;30.251;58.495
19;87.829;-32.27;59.928;37.25;88.613;177.817;30.251;22.831
20;81.266;5.319;27.505;52.043;94.227;241.472;9.987;54.24
21;91.841;-32.967;78.368;58.527;103.05;90.27;48.691;55.456
22;88.924;-23.901;59.928;61.769;99.039;121.078;44.841;40.663
23;89.289;-32.13;63.778;35.832;100.243;317.165;31.264;35.192
24;88.924;6.783;26.29;60.757;79.39;156.332;9.38;29.316
25;94.03;-35.129;81.61;55.691;97.436;41.248;48.894;52.821
26;74.336;10.549;23.453;76.563;119.089;45.57;25.996;81.596
27;83.088;-31.363;61.144;33.806;105.857;29.579;34.304;32.558
28;87.829;40.466;15.955;76.359;83.401;67.735;8.975;33.774
29;91.477;-24.32;73.301;60.757;94.227;46.743;47.07;53.227
30;81.266;26.658;31.558;84.262;110.668;-43.583;37.343;65.992
31;86.736;7.969;40.88;54.88;92.624;-48.584;13.433;44.919
32;84.183;7.76;27.1;57.312;87.811;-39.755;18.296;27.086
33;88.194;-27.109;69.046;59.135;109.065;-21.171;51.326;56.267
34;80.535;18.08;38.651;76.968;105.054;47.237;32.885;65.385
35;86.736;-28.922;63.372;37.25;97.436;55.078;28.428;32.963
36;79.806;5.319;21.629;54.475;105.054;108.051;9.582;54.442
37;95.488;-29.062;68.641;67.443;95.03;35.259;56.999;43.703
38;86.007;-19.857;54.051;63.594;117.083;49.892;56.797;42.284
39;79.077;-36.454;69.654;20.837;104.252;23.776;29.441;52.416
40;96.947;-11.349;33.788;65.62;91.822;60.141;21.133;26.074
41;89.653;-33.525;74.922;60.351;93.826;8.896;44.841;53.632
42;89.289;-21.53;60.535;63.999;97.436;19.948;48.286;33.976
43;83.818;-34.85;68.236;27.727;97.436;-40.866;23.159;42.284
44;92.206;7.201;27.708;65.012;86.208;-17.776;18.093;22.223
45;82.359;-31.293;73.706;51.84;109.465;-23.394;49.502;58.495
46;80.901;-7.374;39.056;70.685;105.455;-26.666;41.396;50.795
47;93.665;-35.687;66.209;35.427;95.431;-54.264;27.82;35.192
48;85.641;-7.653;33.382;51.435;91.822;-34.199;20.525;22.021
49;86.007;-36.594;81.205;47.18;93.024;-17.59;42.815;55.658
