;vertical_force_1;side_force_1;internal_force_1;external_force_1;vertical_force_2;side_force_2;internal_force_2;external_force_2
0;117.734;30.335;30.725;24.231;124.411;-52.052;31.009;-8.28
1;108.25;21.195;49.773;39.631;170.024;73.878;79.034;-8.077
2;109.153;24.495;45.315;22.407;164.153;35.414;69.915;-9.496
3;111.411;25.257;21.404;13.491;147.444;32.748;56.339;-3.417
4;108.25;62.96;13.096;8.02;142.024;34.398;47.828;-3.011
5;117.734;36.809;61.323;42.265;163.25;58.391;75.387;-8.077
6;121.798;26.4;51.597;28.689;150.153;-7.621;61.81;-7.875
7;98.314;33.255;14.109;9.033;150.153;22.719;58.973;-3.619
8;111.411;27.034;19.378;5.588;140.218;58.137;54.11;2.257
9;110.96;26.653;59.094;36.997;161.444;45.062;73.157;-7.875
10;120.444;38.713;50.584;27.675;159.186;9.39;65.255;-8.888
11;95.153;35.54;14.717;8.425;169.573;22.973;66.268;-5.038
12;102.379;72.862;24.241;8.425;141.121;70.324;55.325;-2.201
13;113.669;36.301;55.852;41.049;181.766;89.366;91.597;-10.104
14;126.315;-23.998;60.513;31.323;169.573;34.906;70.523;-10.712
15;114.121;25.003;29.104;13.288;170.928;10.278;59.783;-7.469
16;114.121;-11.176;22.215;3.562;146.089;55.217;50.26;-4.227
17;122.25;29.319;53.015;50.371;170.024;9.136;80.047;-9.901
18;121.347;30.716;55.042;23.42;177.25;33.51;77.21;-9.293
19;121.347;34.905;27.078;17.746;153.766;59.66;63.228;2.257
20;106.895;12.562;24.444;-6.368;146.54;59.153;54.312;1.041
21;120.444;34.651;61.121;42.873;162.347;63.215;81.06;-5.646
22;113.218;37.19;40.654;30.715;173.637;-14.476;71.334;-9.496
23;107.798;49.123;26.065;18.962;174.992;76.036;72.752;-3.011
24;102.831;32.112;21.809;-6.773;136.153;30.59;49.449;-1.188
25;123.605;47.473;54.636;50.168;178.153;-43.8;69.713;-12.333
26;107.798;54.074;41.465;30.918;165.508;28.813;76.197;-6.862
27;89.734;35.92;22.215;6.196;139.766;61.945;58.162;1.447
28;97.411;50.392;15.73;-5.354;142.927;-13.587;42.357;-4.025
29;125.411;48.488;54.231;49.155;192.605;-10.16;83.289;-10.104
30;112.766;72.481;41.465;33.957;167.766;59.406;77.818;-6.659
31;107.798;47.473;21.607;17.341;152.863;24.242;59.986;-2.201
32;94.25;31.35;21.404;-9.002;157.831;71.593;56.136;-3.011
33;129.476;42.522;68.821;45.507;151.056;78.321;80.858;-3.619
34;121.347;59.913;56.865;24.636;147.895;-6.605;58.77;-8.28
35;90.185;89.492;15.527;10.654;170.928;13.579;57.757;-7.064
36;102.379;103.583;15.325;7.614;171.379;70.451;61.405;-4.227
37;125.411;55.978;68.618;44.697;165.508;72.736;83.492;-7.469
38;124.96;47.726;48.963;36.591;154.218;74.513;73.765;-6.862
