;vertical_force_1;side_force_1;internal_force_1;external_force_1;vertical_force_2;side_force_2;internal_force_2;external_force_2
0;95.693;-0.775;-19.676;13.747;148.441;13.01;86.405;41.199
1;177.436;-0.648;-14.003;9.897;148.837;4.815;76.881;46.062
2;194.146;1.002;8.287;1.994;154.388;7.982;84.987;45.657
3;120.984;5.826;27.741;-10.772;136.547;30.517;71.005;35.525
4;316.082;12.681;41.115;-16.446;136.547;34.801;76.881;40.996
5;137.694;14.585;55.704;-31.238;140.115;16.238;70.194;50.115
6;139.049;12.554;62.189;-41.37;129.807;36.415;73.436;28.838
7;153.049;2.526;53.07;-30.428;139.719;35.236;69.789;34.512
8;156.21;2.145;43.749;-20.093;140.908;33.994;77.084;43.833
9;106.532;-3.187;24.093;-8.746;146.855;45.604;87.824;41.604
10;128.661;-0.902;-59.393;43.94;146.855;16.549;62.494;48.899
11;101.113;-0.14;-54.125;40.293;132.583;24.558;60.67;37.552
12;165.694;1.51;-28.592;21.65;133.375;26.048;73.639;44.036
13;194.146;2.145;-22.311;17.192;139.719;35.049;79.515;45.454
14;152.145;5.445;6.464;6.452;132.979;34.739;70.599;34.917
15;130.468;12.681;41.722;-27.793;140.512;27.041;67.965;38.362
16;155.307;1.637;48.207;-30.833;137.736;27.538;77.692;43.631
17;127.758;-3.568;4.032;7.263;142.098;36.415;81.339;45.86
18;154.404;0.494;-20.284;18.61;136.944;36.912;72.626;34.107
19;103.371;11.285;21.459;5.236;137.34;41.382;71.815;31.878
20;93.435;13.951;39.291;-21.309;145.666;40.947;82.555;45.454
21;110.145;15.982;67.66;-46.031;140.115;15.928;73.436;50.723
22;517.503;-4.33;6.869;2.399;133.375;31.325;73.031;31.878
23;190.984;-2.806;-10.355;12.734;136.547;33.125;67.965;35.323
24;101.564;-2.552;-19.271;17.192;136.151;33.249;78.908;43.023
25;112.855;-0.775;-35.482;32.187;129.411;36.788;79.313;38.362
26;117.371;-4.076;-24.54;20.637;132.979;23.564;66.141;40.388
