;vertical_force_1;side_force_1;internal_force_1;external_force_1;vertical_force_2;side_force_2;internal_force_2;external_force_2
0;119.036;40.205;14.083;13.844;103.936;34.055;10.071;55.817
1;123.029;14.855;49.139;38.363;104.303;-19.106;57.205;24.205
2;113.047;25.197;29.484;11.615;105.771;-3.917;23.77;46.293
3;108.256;5.593;6.586;4.798;109.809;-18.849;38.359;4.144
4;124.626;47.168;10.841;23.166;102.467;12.43;16.15;32.108
5;121.033;8.906;42.452;42.416;105.037;-25.414;56.191;34.134
6;125.025;45.816;11.449;39.782;95.493;10.499;9.99;55.006
7;111.45;5.391;5.775;3.713;106.138;-26.572;42.007;2.726
8;129.018;77.993;32.726;46.266;105.404;23.951;25.876;47.711
9;120.633;8.162;41.642;44.037;100.265;-21.616;51.126;36.971
10;100.669;20.127;23.405;12.426;112.012;13.911;13.232;65.746
11;109.853;4.647;2.938;3.105;100.999;-26.25;39.575;1.124
12;121.033;53.116;34.144;41.606;113.847;53.428;38.035;67.367
13;126.223;13.841;43.466;45.253;103.569;-26.379;57.407;33.527
14;123.029;68.664;14.083;63.288;98.063;20.347;9.058;71.014
15;105.86;4.039;9.22;7.838;106.138;-23.483;37.549;10.629
16;114.245;43.72;12.867;19.518;110.91;16.678;11.894;39.403
17;118.238;8.027;40.831;44.037;106.138;-26.122;59.636;33.121
18;122.23;55.415;9.828;59.843;103.202;17.965;3.789;71.825
19;111.051;5.323;11.854;5.811;110.91;-27.216;43.223;12.452
20;131.015;60.147;35.765;51.13;99.531;54.329;47.356;63.719
21;127.421;5.12;51.166;40.39;102.835;-3.209;45.452;44.469
22;124.227;47.032;1.722;53.359;99.531;9.534;7.761;60.275
23;116.241;4.444;9.423;4.726;100.999;-23.612;35.523;3.334
24;135.407;61.634;19.96;40.187;108.341;20.54;26.484;50.548
25;127.421;11.272;42.655;48.495;91.088;-19.621;50.518;30.892
26;117.838;64.676;15.704;61.261;108.708;19.252;9.868;82.565
27;115.842;6.067;15.299;4.798;98.797;-24.126;33.496;6.981
28;132.212;62.31;16.515;33.5;107.974;19.767;19.595;46.495
29;131.813;13.3;42.047;51.738;100.265;-15.245;52.544;34.742
30;131.015;73.126;11.044;65.922;94.025;21.956;8.652;68.177
31;109.054;4.782;9.017;2.974;101.366;-21.745;35.725;6.981
32;126.623;48.993;17.528;30.663;108.708;30.837;22.229;49.332
33;123.428;6.675;40.629;48.495;102.467;-7.071;53.355;34.337
34;120.633;52.373;9.017;57.817;107.974;41.264;11.489;83.78
35;110.651;1.47;14.489;4.596;110.91;-22.389;40.994;7.386
36;141.396;92.189;33.334;55.79;106.505;25.109;30.942;52.574
37;123.828;9.987;45.087;43.835;104.303;-22.324;52.544;39.2
38;128.619;46.086;13.881;42.214;99.531;11.787;12.017;56.424
39;111.45;6.54;5.978;7.765;105.771;-16.854;39.981;4.955
40;110.252;49.331;20.568;22.153;106.505;17.386;23.445;46.901
41;119.436;13.367;34.955;47.887;103.569;-27.795;70.984;34.337
42;114.644;44.464;3.951;44.443;110.176;13.653;8.774;68.38
43;117.439;3.701;7.802;7.157;109.075;-25.156;42.21;7.386
44;107.856;39.191;23.202;20.734;123.024;49.888;26.687;66.354
45;119.835;10.934;38.4;45.861;109.075;-21.037;58.218;36.769
46;99.871;56.97;21.175;51.535;116.784;56.517;24.458;101.207
47;100.27;5.053;11.652;9.054;112.746;-25.607;43.425;8.602
48;129.817;67.921;28.065;41.403;103.569;28.199;28.308;53.385
49;121.432;11.677;42.452;43.227;102.1;-18.591;52.949;37.985
50;119.835;29.997;23.405;27.421;107.607;4.063;29.443;48.724
51;112.648;4.85;6.181;2.092;99.898;-25.156;39.373;1.732
52;129.817;56.699;35.968;49.914;113.113;38.818;32.563;63.314
53;115.842;2.687;38.4;24.787;118.252;-3.081;51.126;45.685
54;136.205;61.228;24.215;72.812;102.467;37.338;18.176;76.485
55;118.238;2.551;20.77;5.811;119.353;-9.259;37.549;14.884
56;129.018;64.338;24.823;35.324;116.784;43.645;26.079;60.072
57;114.245;5.458;38.197;25.192;106.505;-13.507;50.923;34.337
58;139.0;60.417;7.194;55.79;107.607;30.773;3.586;68.785
59;115.443;0.861;19.757;8.446;114.581;-19.235;39.575;10.426
60;125.824;50.615;18.136;28.029;117.518;36.63;21.013;55.006
61;108.256;3.43;40.021;17.695;121.923;-12.477;53.962;44.874
62;134.209;54.604;8.207;53.156;114.214;33.991;6.221;74.459
63;121.432;2.619;22.999;7.23;121.923;-17.433;40.588;14.681
64;126.623;50.683;14.286;22.963;116.417;30.837;16.96;51.359
65;120.633;5.526;38.4;28.232;109.075;-13.829;54.57;33.527
66;135.806;61.161;15.704;63.085;110.176;39.59;12.502;78.917
67;107.058;3.295;17.528;10.067;118.619;-18.656;40.588;11.236
68;129.817;69.205;35.563;45.456;113.113;48.086;39.048;68.583
69;113.047;4.241;39.413;22.355;113.847;-15.695;55.381;37.985
70;136.605;63.594;15.299;60.856;104.303;41.071;18.784;78.715
71;123.029;3.295;24.013;7.838;105.404;-18.978;37.752;7.589
72;128.619;67.312;28.065;37.958;110.176;46.734;34.792;62.098
73;121.831;5.526;42.25;26.408;114.581;-10.933;54.57;37.377
74;139.799;62.513;10.841;61.667;104.303;35.407;10.071;70.204
75;111.45;2.213;19.757;10.472;117.151;-19.557;40.994;10.831
76;132.212;69.408;32.726;43.835;109.809;43.516;32.766;57.438
77;117.439;4.241;44.681;22.355;118.986;-13.056;55.178;42.037
78;136.205;61.499;6.788;53.359;110.176;33.219;1.763;68.177
79;122.63;4.174;20.77;3.177;109.809;-20.908;40.791;3.536
