;vertical_force_1;side_force_1;internal_force_1;external_force_1;vertical_force_2;side_force_2;internal_force_2;external_force_2
0;164.521;100.827;40.302;94.943;88.067;43.045;-27.772;63.825
1;144.957;10.378;-56.963;53.808;107.523;-11.983;62.604;34.645
2;154.14;74.869;27.739;107.507;96.51;37.575;-8.319;76.996
3;147.352;16.394;-7.925;49.35;91.371;-18.032;50.851;4.857
4;144.557;75.409;36.655;71.843;115.231;38.54;-21.895;69.296
5;132.18;10.513;-40.347;61.914;117.434;-7.477;65.644;38.292
6;160.528;83.521;34.021;118.652;95.409;36.609;-13.993;84.493
7;140.564;10.04;-17.449;36.584;95.776;-15.973;48.825;13.773
8;142.162;74.328;36.858;70.019;117.434;41.694;-25.138;73.146
9;135.773;13.014;-43.792;60.698;110.092;-8.7;63.415;37.279
10;162.126;76.761;27.131;110.952;107.523;43.174;-11.358;93.612
11;147.352;8.891;-23.528;37.8;101.649;-16.938;50.649;16.205
12;157.334;94.675;48.003;90.08;99.814;43.045;-39.727;72.335
13;137.37;6.93;-48.655;58.064;112.662;-13.656;61.591;41.534
14;154.14;78.451;30.171;111.357;104.219;37.704;-11.764;89.559
15;150.946;10.919;-21.907;43.474;95.409;-16.423;50.649;10.734
16;155.737;84.535;36.858;80.556;103.852;42.016;-28.988;65.243
17;139.367;7.944;-49.06;61.711;104.953;-2.972;58.146;36.266
18;151.345;62.903;15.986;94.336;106.054;30.946;6.271;78.82
19;150.546;10.784;-16.639;48.54;93.941;-18.097;53.08;5.668
20;155.338;88.659;48.611;90.08;109.725;53.407;-39.12;81.859
21;142.561;6.254;-49.263;64.143;111.928;-5.289;58.754;42.75
22;145.755;64.12;18.012;92.512;97.979;27.921;4.447;73.551
23;157.334;10.243;-17.449;50.161;106.789;-18.226;54.093;12.355
24;142.561;73.517;36.452;71.032;113.763;37.639;-21.895;68.688
25;136.172;11.933;-39.536;67.79;114.497;-11.275;67.062;37.279
26;154.539;66.824;13.757;94.741;106.054;24.51;12.958;73.146
27;151.345;11.054;-11.775;50.363;103.485;-21.379;55.107;10.936
28;152.543;76.085;36.655;79.543;103.852;35.065;-26.759;65.851
29;134.575;10.378;-37.105;66.98;102.384;-10.695;60.578;32.821
30;154.14;73.043;24.294;103.454;103.485;35.773;-8.724;84.291
31;145.356;10.175;-13.396;45.905;97.979;-20.736;54.296;9.923
32;156.935;86.901;44.963;87.446;113.396;45.169;-31.825;75.983
33;131.78;6.39;-45.008;58.064;113.396;-7.928;63.212;39.305
34;159.73;78.722;30.171;114.397;99.447;35.0;-10.345;82.467
35;149.349;10.851;-21.502;43.879;98.346;-16.359;50.851;12.152
36;150.546;78.384;36.655;75.49;107.89;44.976;-32.433;71.727
37;141.363;9.837;-44.4;65.358;110.092;-10.567;63.212;35.253
38;153.341;66.418;16.189;95.957;102.384;21.871;7.082;72.741
39;146.154;10.04;-12.18;47.932;91.738;-19.577;48.825;7.492
40;151.744;68.041;21.862;66.169;107.523;26.827;-11.966;52.882
41;143.759;9.296;-39.334;70.83;107.156;-15.136;66.049;29.782
42;159.331;74.463;21.66;106.291;105.32;30.881;-8.521;85.304
43;144.158;10.04;-16.841;42.258;96.51;-21.508;53.891;11.95
44;152.144;107.722;61.985;97.578;98.346;48.259;-43.78;73.956
45;130.183;5.714;-51.492;52.39;117.067;-12.626;60.375;44.574
46;153.741;60.605;14.77;90.485;108.991;22.193;16.2;73.146
47;155.737;13.082;-13.396;51.377;98.713;-25.112;56.93;4.655
48;150.946;81.696;43.95;80.961;83.662;29.401;-24.53;45.992
49;150.147;7.742;-45.818;70.627;114.497;-13.27;66.252;35.658
50;162.924;95.013;45.571;132.431;94.675;45.749;-28.582;94.625
51;158.133;10.513;-28.797;41.042;99.08;-19.513;51.864;14.381
