;vertical_force_1;side_force_1;internal_force_1;external_force_1;vertical_force_2;side_force_2;internal_force_2;external_force_2
0;30.87;19.108;8.937;118.975;93.229;26.313;30.98;30.721
1;27.845;2.955;65.068;83.108;106.462;11.681;45.367;68.817
2;27.845;13.157;39.941;98.306;119.695;26.56;52.459;45.919
3;24.819;-4.958;55.544;43.189;94.833;8.717;20.443;47.54
4;35.787;10.803;27.58;87.769;75.987;-5.977;34.627;8.185
5;26.332;3.544;71.957;70.748;96.437;6.865;46.583;57.672
6;35.409;14.726;20.285;110.464;103.655;19.028;35.438;62.941
7;38.056;-4.042;50.883;63.047;100.447;5.198;32.398;42.879
8;35.787;14.726;12.788;90.606;85.61;11.063;29.156;14.105
9;28.601;3.478;65.676;74.192;99.244;6.926;44.759;65.575
10;38.056;18.781;16.638;124.446;108.066;29.956;33.006;66.791
11;30.492;-5.873;57.368;53.929;99.645;19.707;24.698;46.527
12;37.3;21.985;10.516;109.249;97.64;28.289;10.716;51.39
13;32.383;-2.342;66.689;83.108;99.645;-1.902;50.433;64.359
14;33.896;21.528;8.33;124.852;111.675;36.253;19.227;91.31
15;28.979;3.805;44.399;66.898;94.432;7.606;30.777;40.448
16;32.761;20.677;25.351;108.843;97.64;23.411;40.301;37.206
17;32.383;-3.388;89.992;85.337;122.101;-1.655;72.723;99.618
18;26.332;19.239;28.998;108.235;127.314;36.624;39.085;79.557
19;24.819;4.525;53.112;56.766;100.848;8.47;30.372;46.73
20;38.434;16.623;6.506;96.888;84.808;12.854;20.848;32.342
21;30.492;-4.107;73.579;72.369;100.848;8.655;42.733;71.857
22;30.87;14.399;42.575;99.319;117.289;29.956;46.583;58.888
23;27.845;-3.453;65.473;50.889;98.041;4.272;28.346;45.108
24;40.325;22.509;7.881;112.491;96.437;22.423;16.593;44.906
25;28.223;6.617;67.094;79.461;108.467;9.273;51.041;69.222
26;29.736;11.391;44.196;91.619;118.492;24.708;55.296;48.553
27;30.114;-3.65;64.663;52.713;95.635;-0.976;28.954;44.703
28;32.005;22.312;2.656;100.738;106.863;31.067;21.051;44.501
29;27.467;3.609;70.742;71.153;104.457;5.568;49.217;69.425
30;40.704;17.342;18.867;120.191;109.67;25.017;33.006;74.896
31;28.601;5.636;55.949;61.629;93.229;10.137;27.738;41.461
32;34.652;14.726;15.017;90.201;104.056;15.138;40.301;19.779
33;29.358;-4.631;74.389;68.924;112.477;11.866;41.922;80.975
34;35.031;21.789;13.598;126.067;103.655;41.193;15.985;80.165
35;30.114;4.329;56.557;60.818;104.056;9.334;33.006;48.553
36;33.518;19.108;28.391;100.333;106.061;16.805;42.53;15.726
37;31.249;-3.127;71.957;76.219;98.442;3.16;54.891;77.936
38;42.595;22.051;2.858;133.97;110.873;34.278;18.416;93.336
39;36.543;1.451;40.143;74.192;89.62;2.975;28.954;40.245
40;33.896;22.182;5.652;106.412;97.64;34.216;4.637;56.051
41;31.249;7.141;65.676;89.998;100.447;4.457;48.001;64.156
42;41.838;14.923;21.298;114.72;114.081;25.078;35.843;76.72
43;32.761;-3.846;52.707;54.739;97.64;7.235;26.725;45.716
44;43.729;17.8;4.682;100.738;102.051;20.509;20.038;45.716
45;44.107;-2.865;59.191;88.782;100.848;2.419;50.433;65.777
46;42.595;12.568;32.849;108.033;112.477;21.497;39.491;70.641
47;36.922;-4.434;47.641;54.537;94.031;5.815;29.764;45.514
48;32.005;14.269;23.933;79.866;95.234;17.916;31.385;20.184
49;30.87;3.675;79.252;71.356;100.848;2.975;46.38;70.235
50;49.024;17.735;19.272;125.054;110.472;26.93;29.967;82.596
51;30.87;5.31;51.694;61.832;99.645;12.854;31.385;46.324
52;36.922;22.77;16.392;103.777;96.838;33.907;5.697;70.033
53;34.652;5.44;62.434;88.782;112.878;13.656;47.191;75.301
54;47.889;19.173;13.801;128.702;103.655;31.87;19.835;85.231
55;40.704;2.04;48.452;71.761;86.412;2.975;30.98;41.866
56;44.486;25.255;16.595;118.57;94.833;32.364;3.827;59.496
57;34.274;4.525;67.094;84.73;112.477;10.878;49.623;75.504
58;34.652;18.65;28.998;112.491;120.898;37.426;36.856;75.301
59;30.492;-2.669;55.139;52.713;91.625;6.68;24.09;47.135
60;31.249;21.92;10.153;93.443;97.64;28.968;17.403;44.906
61;37.3;-3.977;75.2;75.408;90.823;2.419;44.354;63.143
62;31.249;16.688;30.214;101.548;110.873;33.475;31.183;71.857
63;30.492;4.132;61.623;56.563;92.427;4.21;27.13;43.082
64;34.652;15.707;21.704;89.39;100.848;18.904;36.046;21.197
65;32.761;-4.958;82.9;66.087;98.442;6.988;41.112;75.099
66;43.729;23.555;3.829;134.983;108.066;35.698;17.201;91.715
67;31.249;-2.538;39.738;59.197;110.873;7.791;38.883;53.214
68;47.889;16.034;5.29;107.02;85.61;14.706;19.43;33.761
69;33.896;4.656;53.923;84.324;106.462;13.903;46.988;75.707
70;42.973;21.397;3.669;129.107;112.878;41.44;19.632;90.904
71;29.736;5.048;50.883;64.061;104.056;10.014;31.588;52.403
72;43.729;18.519;7.274;103.777;88.818;16.928;14.972;42.272
73;33.896;5.636;60.812;83.716;118.893;17.052;49.217;81.988
74;35.031;12.765;44.399;98.914;116.888;22.362;57.323;48.351
75;32.005;2.955;62.028;50.079;94.432;8.593;19.024;53.417
76;33.14;12.176;32.646;71.558;121.7;20.324;48.407;31.127
77;32.005;-3.977;77.834;63.655;102.051;6.186;44.151;75.301
78;33.518;17.996;34.064;106.006;115.685;29.709;44.354;63.346
79;28.223;4.002;57.976;52.105;92.427;8.779;22.672;47.945
80;32.005;16.558;25.959;79.258;115.284;31.746;29.156;46.324
81;30.114;3.544;70.944;70.545;108.868;6.186;48.812;74.491
82;34.274;13.746;45.412;97.698;120.497;27.795;51.649;55.038
83;29.358;-3.127;60.407;45.621;93.63;7.482;27.535;46.932
84;52.806;23.424;10.516;124.649;89.219;30.882;2.206;52.201
85;34.652;3.871;70.944;81.285;98.843;8.1;46.583;67.196
86;44.864;16.95;14.611;118.367;110.472;30.018;27.13;84.015
87;30.87;3.936;41.765;58.589;107.264;12.607;33.817;51.795
88;43.351;17.081;3.221;99.725;88.818;19.151;14.972;45.919
89;44.107;-2.407;49.465;86.148;111.675;15.2;44.151;84.217
90;38.813;11.522;46.628;98.914;117.69;22.794;56.31;49.364
91;32.383;-3.257;62.636;49.065;93.229;6.433;20.645;53.822
92;41.46;21.266;5.855;106.209;90.823;23.658;12.945;49.161
93;38.056;2.367;66.486;79.056;106.061;5.877;50.636;71.046
94;46.377;16.361;24.54;118.165;114.482;30.388;35.641;77.328
95;40.325;-2.603;46.628;61.426;96.437;7.976;32.804;44.906
96;50.915;17.735;4.074;106.817;102.452;23.473;28.548;39.637
97;36.922;-3.78;75.402;75.003;108.467;13.039;43.543;80.367
98;34.652;11.195;46.425;92.632;126.512;37.365;42.125;75.707
99;27.088;5.31;50.883;50.281;94.031;7.791;30.372;44.703
100;46.755;20.285;3.466;110.87;88.016;19.707;19.227;35.787
101;35.031;-4.173;76.213;72.166;102.452;14.335;42.936;73.883
102;42.973;16.885;10.559;114.72;102.051;29.647;23.685;80.975
103;41.082;-2.342;48.046;65.074;104.457;6.68;34.627;46.122
104;35.409;15.38;18.461;88.782;95.234;7.606;44.962;7.215
105;34.652;-7.181;79.658;66.087;104.056;11.989;36.046;81.988
106;38.813;14.007;41.157;104.385;114.081;22.362;52.459;53.214
107;33.518;-4.107;67.297;50.281;87.615;3.654;28.346;38.421
108;44.107;19.173;8.127;103.575;104.858;34.339;6.866;68.412
109;41.46;2.563;60.812;87.364;105.259;2.666;53.878;61.927
110;41.838;21.07;6.708;124.041;100.046;29.091;20.848;76.315
111;37.3;4.852;49.465;70.748;112.076;5.136;41.112;45.514
112;44.486;20.285;3.466;108.438;116.888;34.216;11.729;70.438
113;35.031;5.898;54.328;87.769;98.041;2.79;48.407;59.09
114;45.62;21.135;16.232;128.094;112.477;36.006;17.809;89.891
115;33.518;6.29;45.817;67.505;100.447;3.284;38.478;39.637
116;44.486;22.574;4.437;112.693;110.873;38.414;7.069;72.059
117;36.543;5.963;60.61;89.998;106.863;2.79;54.688;63.346
118;44.107;24.274;4.682;134.983;109.67;37.55;18.214;90.094
119;34.652;6.617;49.465;71.153;105.259;4.272;39.085;42.069
120;41.838;25.974;18.216;118.975;108.467;39.464;5.9;82.191
121;37.678;4.394;51.288;93.646;106.863;4.21;52.865;66.385
122;42.595;22.247;7.316;126.675;112.878;34.586;23.077;88.675
123;35.031;6.617;46.425;69.329;104.056;4.889;38.68;44.298
124;44.486;24.405;16.797;116.746;111.274;41.501;2.813;75.504
125;35.031;4.525;53.315;88.377;114.883;4.827;55.094;68.817
126;45.62;19.893;12.585;125.46;105.259;33.784;22.672;80.367
127;35.031;6.356;50.883;73.179;98.442;3.839;36.856;38.219
128;43.729;22.966;14.163;109.249;119.294;48.848;8.737;91.107
129;36.165;5.898;49.262;92.632;103.655;-1.964;53.473;61.725
130;49.402;22.639;11.166;135.997;107.264;36.5;17.809;85.433
131;35.409;6.683;47.844;69.532;93.63;3.346;35.641;41.056
132;47.133;21.593;5.045;113.504;106.863;36.871;8.487;67.601
133;34.652;4.786;55.746;85.337;107.665;6.556;50.838;68.817
134;45.62;21.92;2.453;130.12;106.462;35.945;18.416;83.609
135;36.165;7.729;48.654;74.395;114.081;4.827;46.583;44.095
136;45.62;20.808;5.45;112.693;108.868;29.091;21.051;54.43
137;33.14;4.852;56.152;84.932;106.863;5.506;50.838;66.183
138;45.62;21.724;7.316;129.512;111.675;39.155;17.403;90.499
139;32.761;7.402;45.817;69.329;104.457;5.568;38.478;41.664
140;44.486;22.247;10.921;113.099;103.655;36.253;4.84;71.046
141;39.569;2.432;51.491;89.593;110.071;4.21;54.486;65.98
142;46.377;22.574;9.951;132.754;113.279;32.055;26.927;83.812
143;32.383;5.702;45.007;66.898;99.645;3.778;38.68;42.069
144;45.998;22.639;9.097;114.922;106.863;34.71;10.514;66.993
145;36.543;2.628;55.139;82.703;110.472;2.79;54.486;68.817
146;45.242;21.331;10.761;128.094;113.68;35.574;21.253;87.865
147;34.652;5.963;46.425;68.721;106.061;4.025;37.464;45.514
148;36.165;14.334;21.501;86.756;106.061;19.769;36.654;25.25
149;31.627;-2.669;69.931;71.153;110.873;11.125;42.53;85.838
150;36.165;12.961;45.615;101.548;122.502;20.942;62.591;50.782
151;31.249;4.59;59.597;51.902;85.61;-1.223;28.751;40.65
152;35.031;14.596;28.796;77.435;100.848;14.891;39.288;19.779
153;34.274;-3.911;80.266;65.479;109.67;6.803;50.838;76.112
154;34.274;11.13;59.799;88.985;125.309;14.397;69.278;41.056
155;31.249;3.805;59.799;49.268;94.031;-3.878;33.209;44.298
156;47.511;21.92;7.071;111.883;93.229;21.868;20.443;39.232
157;33.896;4.721;79.658;72.369;92.427;9.458;38.275;73.68
158;49.78;15.25;20.285;119.178;108.467;21.497;43.543;60.712
159;36.543;-4.173;68.31;70.342;95.234;11.187;37.464;66.993
