;vertical_force_1;side_force_1;internal_force_1;external_force_1;vertical_force_2;side_force_2;internal_force_2;external_force_2
0;44.166;22.569;17.867;139.1;91.335;35.039;4.007;68.112
1;41.141;5.239;76.834;105.057;90.533;-5.278;47.776;59.399
2;40.384;21.719;13.409;135.453;113.79;47.14;6.733;109.45
3;35.468;3.081;64.473;82.159;101.36;4.23;33.997;60.209
4;43.788;28.585;7.463;142.342;99.355;32.569;9.367;76.826
5;39.628;5.5;66.702;107.489;104.167;-5.772;54.666;65.073
6;40.006;21.326;17.867;131.603;121.008;47.14;3.196;115.935
7;34.333;8.901;68.931;88.238;96.949;-2.191;36.023;56.765
8;45.301;26.558;1.453;138.898;103.365;38.25;8.759;83.31
9;33.577;6.351;70.147;98.168;93.34;-4.413;51.221;64.06
10;43.032;20.541;19.083;135.655;124.216;43.312;13.125;109.045
11;38.871;-3.982;80.481;81.957;109.379;-3.611;43.116;61.02
12;43.41;20.934;21.919;121.673;93.741;21.518;14.949;54.941
13;38.115;8.051;76.023;99.586;98.954;-3.981;52.032;66.491
14;38.871;19.037;20.501;125.726;127.424;40.102;18.597;107.424
15;36.602;3.735;77.239;80.741;106.172;-3.425;41.089;65.275
16;43.41;26.623;2.466;137.479;93.34;38.497;10.988;78.041
17;41.519;4.258;73.794;106.881;97.35;-5.031;52.437;67.099
18;38.115;21.457;14.625;131.197;132.637;54.302;10.896;118.974
19;35.468;5.37;74.2;85.604;108.978;7.811;38.658;64.06
20;43.41;22.046;19.488;128.766;100.558;33.496;9.681;66.491
21;38.493;6.939;76.631;102.018;95.345;2.131;49.803;65.883
22;38.115;21.588;12.193;129.171;129.429;53.994;3.288;123.837
23;33.955;5.173;76.023;84.794;112.587;1.884;45.953;61.02
24;45.679;27.081;6.519;140.113;104.969;32.076;4.615;81.486
25;41.141;6.481;66.905;111.339;94.142;-5.957;55.882;60.817
26;38.871;21.98;13.611;131.603;126.622;50.166;6.236;122.014
27;36.224;5.762;71.768;89.049;106.172;-2.684;45.142;59.399
28;44.544;25.119;2.466;133.629;104.167;40.287;8.962;88.781
29;39.25;5.958;73.794;103.233;101.36;-3.24;55.274;68.315
30;38.871;18.841;21.312;122.889;129.83;44.671;17.178;113.098
31;39.25;3.015;75.821;82.159;114.191;5.28;42.913;66.491
32;47.57;23.026;19.083;131.805;100.558;26.581;18.394;60.615
33;40.762;4.062;78.252;96.344;102.964;2.563;53.45;71.354
34;40.762;21.195;22.73;131.805;123.815;43.189;10.694;113.503
35;35.09;7.985;73.592;88.644;104.167;4.292;41.495;59.399
36;46.435;27.539;5.506;140.721;103.365;33.557;7.046;77.636
37;45.679;5.304;69.742;109.921;99.355;-3.672;57.098;65.681
38;38.871;21.261;20.501;128.766;125.82;42.386;13.936;112.287
39;36.224;3.931;75.416;81.754;106.974;-1.82;43.926;64.06
40;47.192;29.239;1.586;146.395;94.543;35.224;5.72;76.218
41;36.224;7.266;74.808;101.41;103.365;-7.192;61.556;66.491
42;42.275;19.233;27.796;129.779;129.028;40.904;19.812;109.45
43;36.981;5.893;73.592;82.767;106.573;3.057;43.521;60.007
44;42.653;16.291;30.025;109.11;103.365;20.16;28.526;53.522
45;39.628;6.154;74.808;97.56;102.563;-4.043;56.895;65.275
46;41.897;23.223;21.514;136.061;132.236;53.5;10.289;124.243
47;38.493;6.678;72.579;90.265;106.172;-2.438;47.168;58.386
48;44.923;23.026;16.043;125.524;104.969;38.805;9.073;75.205
49;38.871;6.612;70.958;99.586;95.746;-3.981;54.869;66.289
50;41.141;13.871;38.738;109.313;129.028;41.645;23.663;102.155
51;40.384;4.781;83.116;76.08;118.201;7.997;45.142;69.531
52;48.705;25.054;14.017;133.629;104.969;29.421;18.394;66.086
53;39.628;5.37;75.821;94.723;103.766;-4.105;57.503;70.341
54;47.57;18.318;35.901;131.197;138.652;41.09;29.134;107.018
55;43.41;-3.263;81.292;82.159;117.8;5.651;44.534;68.923
56;45.301;19.233;24.554;118.431;102.964;31.273;12.923;68.923
57;46.435;4.062;75.618;102.828;95.746;-4.475;55.679;65.681
58;42.275;16.683;37.523;118.837;131.835;41.213;25.486;104.789
59;41.897;2.165;78.455;79.93;106.172;2.44;39.671;65.073
60;47.57;23.746;14.219;131.4;96.147;34.483;4.412;73.989
61;41.519;7.92;75.416;102.828;96.949;-6.512;58.313;63.249
62;38.871;16.487;30.43;114.784;139.855;45.844;24.068;114.313
63;41.519;5.5;76.226;86.82;111.785;-4.784;50.816;58.183
64;47.948;23.55;14.625;130.995;100.558;34.236;10.694;74.799
65;42.653;6.416;74.2;102.22;98.152;-5.895;58.111;64.87
66;38.493;19.822;15.84;123.902;133.038;44.794;15.76;116.745
67;37.359;5.697;73.187;82.97;116.998;8.367;42.103;70.747
68;47.57;23.615;10.167;133.629;102.563;36.089;5.223;79.46
69;39.628;10.209;75.213;103.841;96.949;-4.598;56.49;63.654
70;40.006;19.168;16.043;125.929;132.637;42.325;17.178;115.327
71;37.737;-4.113;64.068;75.675;125.018;3.243;47.776;76.015
72;47.57;27.539;4.087;141.734;100.558;38.558;8.759;85.336
73;46.057;5.893;69.742;112.15;100.959;-3.734;58.719;65.883
74;39.25;19.822;12.801;124.713;139.053;53.376;8.87;130.727
75;40.006;5.173;71.16;87.63;116.998;-2.808;49.397;66.289
76;47.192;20.672;19.083;126.537;102.964;32.323;13.328;67.707
77;44.544;6.874;73.592;106.476;106.172;-2.993;58.516;68.112
78;39.25;16.552;26.175;114.379;134.241;39.361;24.878;111.679
79;41.519;-3.001;72.579;81.551;118.602;5.157;45.547;69.936
80;47.948;23.746;13.409;132.211;100.558;34.113;3.602;80.676
81;44.166;5.37;70.552;104.044;96.949;-5.586;57.908;65.681
82;40.006;20.214;15.84;125.726;137.85;51.03;11.707;123.432
83;35.09;5.239;71.768;80.741;122.612;6.515;46.155;70.747
84;47.192;22.765;16.043;129.374;106.172;36.583;7.249;78.041
85;43.788;3.669;72.579;103.436;107.375;-5.092;60.745;68.315
86;41.519;15.898;32.457;115.392;129.028;33.063;27.31;105.397
87;40.384;3.212;74.402;78.512;113.389;4.23;44.737;66.289
88;44.923;21.849;13.409;123.7;115.795;33.187;11.91;84.728
89;44.544;5.304;69.742;104.247;108.176;-5.648;61.961;67.504
90;40.762;18.122;24.756;119.242;137.048;36.212;24.068;112.084
91;38.493;4.977;72.173;78.512;114.191;3.304;45.547;65.681
92;47.57;21.13;19.488;123.295;103.766;26.334;13.531;74.394
93;40.762;6.089;75.618;95.939;104.568;-4.351;59.327;67.91
94;40.762;20.607;12.396;126.739;138.652;53.376;10.694;126.674
95;37.359;5.239;68.931;83.983;116.597;-1.697;48.587;66.896
96;48.705;23.68;15.638;135.047;103.766;29.668;13.328;69.733
97;41.519;5.762;74.605;99.789;101.36;-3.24;58.719;67.91
98;39.628;19.299;18.475;123.497;141.459;48.375;17.989;122.419
99;40.006;3.8;69.134;84.996;113.79;-4.598;49.803;64.465
100;44.923;21.653;12.396;122.484;118.201;36.397;13.733;84.526
101;41.519;7.266;75.01;99.789;107.375;-3.425;61.556;67.91
102;38.871;17.206;22.325;114.176;141.058;46.955;22.042;116.948
103;35.09;3.277;64.878;72.838;126.221;2.378;51.829;71.76
104;47.57;21.588;22.933;127.347;108.577;28.371;24.068;60.209
105;44.166;4.193;80.481;97.154;103.766;-4.907;58.516;68.72
106;43.788;16.487;25.77;120.052;128.627;43.251;17.786;113.908
107;40.006;6.024;75.213;86.82;110.582;-3.055;48.587;61.425
108;47.192;22.307;17.056;126.537;105.37;26.087;14.747;73.381
109;43.41;5.958;75.213;101.004;102.563;-3.919;60.137;66.694
110;41.141;20.149;17.664;126.942;137.048;48.993;14.139;126.066
111;37.737;8.836;69.944;87.833;109.78;-1.635;47.371;63.046
112;47.192;24.204;13.814;130.995;105.771;30.594;11.707;77.028
113;41.141;7.462;75.01;100.599;100.959;-4.166;59.935;65.883
114;41.897;21.522;12.801;129.779;139.855;50.906;10.694;128.903
115;43.032;5.173;69.336;91.278;111.384;-2.005;46.966;64.465
116;49.083;22.765;15.435;132.008;102.162;28.124;10.896;74.799
117;44.166;7.397;75.618;107.894;107.775;-2.87;60.542;68.315
118;42.275;15.898;33.875;111.744;134.642;35.842;30.147;106.411
119;41.897;4.389;77.645;80.741;114.191;-1.82;48.587;64.87
120;52.487;24.792;13.611;138.695;108.176;32.076;12.112;78.041
121;43.032;6.024;73.389;101.207;98.152;-6.018;59.124;64.262
122;44.923;18.907;22.933;127.753;133.038;44.979;16.773;119.177
123;41.519;5.435;71.16;86.82;105.771;3.551;42.508;64.262
124;49.839;25.577;9.153;138.492;103.365;34.113;6.844;77.231
125;43.41;4.454;72.984;101.41;111.785;-2.623;60.948;72.368
126;43.032;15.441;36.712;114.379;137.048;39.978;34.402;101.75
127;39.25;5.697;79.063;78.107;108.176;-3.117;47.776;60.615
128;47.948;27.343;5.101;138.695;109.78;50.166;8.557;92.631
129;36.981;10.732;74.808;104.044;100.959;-2.376;57.503;64.87
130;44.166;18.645;27.796;124.51;130.632;45.35;18.799;115.529
131;39.628;7.92;74.2;86.212;109.78;2.934;45.547;62.844
132;47.57;23.615;10.369;131.197;116.196;33.681;16.57;80.473
133;39.628;7.005;77.645;97.56;107.775;-3.611;61.556;71.152
134;43.788;17.468;29.214;118.837;133.84;45.782;20.218;116.948
135;38.115;7.332;72.984;82.565;112.587;4.107;46.763;65.681
136;47.192;23.55;14.625;126.739;111.384;40.225;7.249;86.35
