;vertical_force_1;side_force_1;internal_force_1;external_force_1;vertical_force_2;side_force_2;internal_force_2;external_force_2
0;122.159;10.396;74.628;54.729;93.057;-8.867;68.886;52.311
1;116.212;16.79;83.747;63.645;99.103;-5.823;87.731;55.958
2;131.674;20.081;86.786;71.143;93.435;12.018;84.286;50.284
3;126.124;11.389;74.628;52.095;108.173;10.036;74.56;45.826
4;131.278;6.919;64.496;54.324;90.79;21.009;64.833;34.681
5;120.573;14.059;88.812;66.077;93.813;12.443;85.097;53.527
6;143.964;16.852;92.663;80.059;98.348;6.354;83.476;56.566
7;120.177;15.549;73.412;48.65;108.551;10.177;72.939;47.042
8;126.917;32.621;74.831;43.787;98.348;-7.663;59.767;46.434
9;128.106;23.868;93.068;68.711;95.702;6.213;86.515;52.108
10;136.035;14.183;88.407;74.993;94.191;11.593;82.057;54.945
11;124.141;22.005;79.694;45.205;113.085;-6.46;74.763;54.743
12;129.295;6.795;64.293;54.729;90.79;5.788;61.591;37.721
13;127.313;5.926;91.041;69.116;101.749;7.912;85.705;60.011
14;133.656;-6.491;83.544;79.653;98.725;13.646;86.11;56.769
15;126.917;8.533;74.223;51.689;113.463;6.213;73.547;52.514
16;136.432;5.057;66.725;59.39;96.836;-9.929;59.362;40.153
17;129.295;8.099;91.649;71.345;101.749;-15.663;83.071;61.43
18;133.26;15.114;88.61;72.764;105.15;-13.893;82.057;62.24
19;121.366;-6.491;73.209;50.068;120.265;-11.84;71.52;60.619
20;125.727;10.768;66.522;51.082;83.61;11.522;56.323;34.074
21;123.745;9.092;83.949;71.345;87.389;15.912;85.3;46.84
22;130.088;24.364;93.27;65.266;104.394;-7.876;80.639;67.306
23;117.005;12.817;71.588;44.395;123.666;11.168;78.815;57.579
24;136.035;24.426;70.17;56.553;92.301;7.983;61.794;33.06
25;118.591;11.762;88.812;62.429;102.127;8.691;87.731;60.214
26;141.586;8.595;83.544;81.882;100.993;18.46;93.0;52.311
27;128.106;24.799;81.112;49.258;121.021;5.717;75.573;56.972
28;122.952;6.422;49.501;63.037;101.371;-31.522;53.08;50.892
29;123.349;-25.24;77.262;82.49;96.08;-7.663;70.71;65.28
30;133.26;15.673;92.055;67.698;102.127;-7.239;81.652;64.266
31;125.331;7.912;75.641;48.853;113.085;6.142;74.56;50.487
32;128.899;23.495;70.575;50.271;90.79;-11.84;59.16;37.518
33;131.674;-14.81;86.583;79.248;96.458;26.602;95.026;47.042
34;142.379;20.826;94.689;76.006;110.818;8.691;94.824;59.403
35;123.745;-14.189;71.386;55.54;117.998;9.469;75.168;50.69
36;122.556;33.925;71.386;39.937;97.97;3.947;59.97;47.042
37;118.987;9.154;85.773;66.077;104.016;21.859;99.079;51.095
38;129.295;-12.699;72.804;83.503;95.702;8.337;85.3;53.324
39;119.78;24.054;79.896;42.976;125.934;9.398;74.56;62.24
40;118.195;-11.519;49.096;58.579;89.278;-11.345;50.851;42.382
41;110.662;9.961;80.707;62.024;99.103;15.629;87.934;54.945
42;134.449;-9.719;68.144;91.406;90.79;-18.07;57.538;74.398
43;122.159;27.531;77.667;45.205;123.289;-5.61;77.397;60.214
44;126.124;9.216;63.686;55.337;91.923;17.823;66.049;33.466
45;120.573;19.832;88.61;63.848;95.702;11.31;85.908;53.932
46;126.124;18.032;85.368;68.508;99.859;-6.601;80.031;60.416
47;120.97;3.132;69.157;51.082;117.242;6.0;76.789;52.311
48;130.881;17.721;65.509;56.755;96.836;-17.575;62.807;36.708
49;120.573;15.238;91.447;61.821;107.795;15.062;91.581;60.822
50;132.864;-10.402;81.518;79.248;97.592;-9.079;72.534;65.685
51;121.366;18.777;72.399;45.205;112.33;12.655;80.436;48.055
52;131.278;9.651;62.875;56.553;86.255;26.743;66.657;29.21
53;120.97;31.131;91.649;61.821;97.592;25.186;92.595;52.108
54;135.639;-7.36;80.707;82.288;98.725;-10.0;70.912;67.711
55;113.833;16.542;69.765;45.408;121.777;21.292;82.26;52.514
56;121.366;17.225;66.117;47.231;90.034;9.54;58.552;37.316
57;116.212;22.874;86.178;57.769;100.615;-13.044;84.084;60.214
58;128.502;-2.89;75.641;80.869;97.592;13.08;87.326;54.54
59;105.508;16.852;70.575;35.681;124.422;13.151;78.613;60.619
60;118.591;17.535;59.228;50.271;85.121;-8.513;56.323;33.06
61;110.662;8.533;81.72;59.187;98.725;9.186;84.692;59.403
62;138.414;3.194;85.165;80.059;107.039;16.549;98.876;50.284
63;105.508;23.806;74.02;30.615;130.469;-12.123;72.331;68.927
64;134.449;6.05;67.13;58.579;89.656;12.16;63.415;29.008
65;122.556;18.404;92.257;61.619;105.905;12.018;90.771;57.985
66;133.26;-5.187;77.262;82.288;99.481;23.062;94.216;49.879
67;126.124;15.176;80.504;46.016;117.62;12.726;78.41;50.284
68;147.533;15.611;74.831;64.456;106.283;26.39;78.613;34.074
69;128.899;25.296;92.257;59.39;136.137;19.098;104.55;68.522
70;148.325;21.012;94.284;74.182;97.592;15.487;81.855;51.906
71;120.97;24.364;77.87;44.597;122.533;14.85;79.018;54.945
72;144.757;23.185;75.236;59.998;111.196;13.646;68.886;46.434
73;133.656;23.185;90.839;65.266;131.602;23.416;108.198;61.43
74;141.189;26.165;90.231;69.116;95.324;14.142;79.828;51.703
75;127.313;24.985;79.289;51.284;125.178;22.0;85.502;49.677
76;140.396;24.861;76.452;55.337;113.463;18.248;76.586;41.368
77;124.141;26.103;89.218;57.161;128.957;18.106;101.308;64.064
78;148.325;27.22;97.323;69.522;100.237;13.575;81.855;55.756
