;vertical_force_1;side_force_1;internal_force_1;external_force_1;vertical_force_2;side_force_2;internal_force_2;external_force_2
0;119.887;35.171;81.352;38.897;95.927;-4.538;57.925;63.131
1;132.573;16.546;82.365;65.645;113.688;15.073;94.197;55.228
2;134.556;12.138;76.692;73.345;91.393;24.276;87.105;45.704
3;125.437;30.266;73.855;33.628;109.531;3.887;62.18;55.633
4;125.834;21.637;60.886;48.826;106.886;-8.573;64.612;43.07
5;120.68;25.299;91.889;46.192;117.467;-4.892;78.594;75.086
6;143.278;14.311;88.039;74.763;89.503;18.117;78.391;52.391
7;152.0;26.231;80.744;56.323;95.927;-4.75;60.762;41.651
8;130.195;12.262;64.533;48.015;95.549;5.798;62.788;40.233
9;151.604;10.338;102.021;69.9;115.578;-10.414;81.836;71.033
10;144.467;12.076;91.281;74.966;99.328;9.621;82.647;54.62
11;142.485;18.47;78.313;52.068;109.909;8.701;69.273;49.149
12;113.147;27.845;61.089;37.276;103.107;8.489;65.017;42.462
13;139.71;36.102;102.021;55.513;132.205;6.011;95.008;78.531
14;141.296;33.122;91.687;68.482;91.393;3.745;75.352;55.836
15;150.018;6.923;76.692;62.808;91.77;9.905;62.788;33.343
16;127.023;7.916;59.265;48.623;96.683;13.586;64.207;40.435
17;150.811;17.787;100.603;68.076;112.555;7.852;85.686;62.32
18;144.864;18.594;91.687;72.737;99.706;26.542;86.294;55.43
19;144.071;15.18;78.11;54.297;103.485;7.852;62.383;45.501
20;132.97;17.787;66.155;49.636;103.485;-19.334;50.833;58.065
21;140.899;22.133;91.889;66.861;109.154;13.09;89.536;57.862
22;138.917;11.145;89.052;69.698;96.305;-4.113;75.757;60.294
23;140.106;14.745;74.057;52.676;99.706;12.17;62.991;46.312
24;132.177;-2.576;60.886;53.081;101.974;11.179;65.828;41.246
25;153.586;28.838;99.59;69.9;111.799;16.913;90.347;58.673
26;130.988;-2.514;74.463;77.803;89.125;14.79;78.391;45.906
27;130.591;19.091;76.084;43.76;103.863;10.188;59.343;50.972
28;130.988;25.486;70.613;41.126;99.328;5.798;55.088;45.501
29;137.331;18.719;90.268;66.658;104.241;17.975;86.902;56.038
30;128.212;5.061;76.894;68.482;91.77;-11.476;61.572;70.831
31;132.573;21.326;70.613;48.015;97.061;8.772;66.436;40.03
