;vertical_force_1;side_force_1;internal_force_1;external_force_1;vertical_force_2;side_force_2;internal_force_2;external_force_2
0;153.388;39.433;102.371;56.462;108.41;11.57;75.893;64.628
1;160.524;27.575;108.653;76.118;117.101;31.535;106.491;58.954
2;149.027;16.4;95.076;78.955;104.631;24.526;92.306;60.373
3;129.997;17.704;88.592;50.383;128.438;17.022;88.254;68.884
4;150.216;22.609;84.741;60.11;113.7;35.641;87.038;52.673
5;150.613;30.059;106.221;70.242;136.752;37.269;115.407;69.897
6;149.424;27.389;102.574;75.308;111.811;17.376;92.712;69.086
7;141.891;30.866;96.292;57.881;130.327;15.818;92.306;67.06
8;150.613;8.888;82.715;65.581;112.944;28.774;83.39;54.294
9;147.045;22.112;105.208;70.444;134.862;24.526;108.72;73.139
10;160.524;12.924;102.776;88.884;106.898;27.004;95.548;61.589
11;146.252;24.037;97.508;58.894;134.106;27.924;95.346;66.655
12;149.424;31.424;87.781;59.502;114.834;-9.385;64.342;74.557
13;158.542;19.194;103.384;80.981;130.327;25.234;112.165;65.641
14;146.648;29.872;103.789;71.052;120.124;4.915;91.09;77.8
15;139.512;28.444;94.671;56.868;130.327;27.57;94.738;64.223
16;158.939;34.777;92.239;62.136;110.677;15.322;80.553;55.51
17;157.749;41.047;112.503;70.242;130.327;26.083;109.125;69.897
18;152.199;28.072;103.992;75.915;116.345;12.703;93.927;71.113
19;141.494;29.934;95.279;58.894;127.682;-6.129;82.174;71.923
20;153.388;35.708;95.076;56.057;118.613;15.464;80.351;62.805
21;158.939;28.631;108.045;76.929;127.682;19.924;109.125;66.452
22;151.009;16.463;101.155;80.981;112.566;24.101;93.522;67.87
23;139.116;36.019;97.305;55.044;129.95;10.225;85.417;70.099
24;148.234;39.619;92.239;53.22;115.968;15.606;80.756;60.981
25;155.767;41.171;110.476;74.092;129.572;25.446;111.962;64.628
26;149.027;27.141;102.979;76.726;118.991;18.508;96.967;71.721
27;140.305;31.859;97.508;54.639;136.374;26.367;96.967;68.681
28;150.613;15.842;86.768;62.339;110.677;33.517;83.593;52.673
29;153.388;25.899;107.639;71.863;131.083;22.898;107.909;70.302
30;155.37;38.191;109.058;75.105;114.078;10.438;91.293;70.707
31;138.719;34.963;96.697;55.044;137.13;17.659;94.738;69.694
32;151.802;32.728;92.442;56.462;114.834;11.146;76.703;60.981
33;151.009;32.107;105.613;72.065;134.484;18.437;110.746;69.897
34;147.838;21.181;101.155;74.7;118.613;4.561;82.985;83.068
35;143.08;4.419;77.447;78.955;125.037;-5.846;78.324;72.328
36;149.027;31.549;90.213;55.247;114.456;21.694;79.945;60.576
37;151.802;29.934;105.208;73.079;129.194;37.694;114.394;64.426
38;149.027;21.677;99.939;78.347;111.433;29.34;96.967;65.439
39;133.962;35.832;96.089;47.546;131.839;20.915;90.28;70.302
40;152.595;12.303;84.741;65.784;115.968;6.756;76.501;63.412
41;150.216;21.367;105.208;72.471;129.572;38.827;112.975;65.034
42;152.992;35.025;105.613;77.131;112.189;14.119;93.522;66.452
43;136.34;29.624;93.86;53.423;131.839;18.154;90.888;68.884
44;143.873;7.274;73.596;65.784;115.212;-10.306;62.316;75.773
45;148.631;25.03;101.155;73.686;134.862;19.57;110.341;70.099
46;145.855;17.952;93.86;81.387;119.369;-7.191;90.077;78.408
47;135.151;28.32;94.671;55.449;130.327;25.234;92.712;64.02
48;151.406;37.26;93.86;57.881;110.677;16.455;79.135;57.941
49;151.802;32.045;106.018;73.889;128.438;27.075;109.53;64.223
50;151.802;16.4;101.966;79.766;111.811;4.632;82.985;73.95
51;142.684;25.713;91.631;61.528;129.572;6.898;90.077;63.615
52;150.613;36.701;94.265;54.639;117.101;9.517;77.514;63.615
53;154.974;27.203;105.208;76.321;132.595;28.137;112.975;65.844
54;155.767;43.779;111.287;74.497;123.525;7.181;95.143;75.571
55;144.666;22.733;95.076;61.528;141.664;14.544;96.359;70.302
56;148.631;34.404;95.887;50.181;115.212;-4.713;71.84;67.06
57;156.56;18.697;101.56;81.995;123.903;34.296;112.57;57.333
58;145.459;40.364;107.639;65.378;120.88;6.331;89.064;79.421
59;139.908;25.154;91.429;60.11;124.659;33.659;96.764;58.144
60;145.459;26.706;86.363;56.665;112.566;26.225;82.782;57.131
61;147.838;28.755;101.56;72.673;126.549;30.331;111.759;63.007
62;141.494;24.347;98.116;72.673;125.415;18.579;98.385;74.76
63;135.547;28.569;93.86;54.639;131.461;34.225;95.751;64.02
