;vertical_force_1;side_force_1;internal_force_1;external_force_1;vertical_force_2;side_force_2;internal_force_2;external_force_2
0;164.776;20.922;108.709;73.792;129.09;15.535;89.085;70.429
1;139.403;21.171;86.014;64.268;124.555;37.34;92.53;64.35
2;154.865;33.773;118.031;75.819;142.316;32.101;111.578;81.98
3;161.604;28.558;107.696;92.84;104.905;15.181;95.569;64.553
4;167.948;34.518;111.952;77.035;129.468;18.366;94.759;65.971
5;149.314;14.404;89.662;71.361;122.288;23.393;87.667;65.161
6;155.261;30.483;120.26;75.211;150.252;18.579;111.375;90.085
7;171.12;11.92;105.872;104.188;109.817;28.915;103.878;61.513
8;173.498;29.614;113.37;80.479;129.09;24.172;95.569;64.35
9;142.971;29.8;88.446;66.7;121.154;-7.403;69.835;79.548
10;159.622;27.813;116.41;84.735;140.049;19.924;111.172;79.953
11;160.812;20.177;105.67;96.082;110.573;6.827;95.975;69.416
12;165.569;33.587;112.762;74.603;129.09;27.641;97.191;65.566
13;149.314;34.953;94.525;65.079;118.887;12.986;81.993;65.363
14;163.19;46.873;127.757;75.819;144.961;23.889;110.159;84.817
15;164.776;27.379;107.494;96.082;109.062;14.402;99.42;64.553
16;172.309;28.062;109.52;85.951;132.491;-6.412;84.83;75.901
17;146.143;36.629;97.159;60.216;123.421;7.959;78.143;72.05
18;158.036;32.283;119.044;80.479;139.293;26.154;111.375;78.13
19;165.569;12.044;101.009;102.972;108.306;21.269;101.851;60.905
20;162.397;47.245;118.031;69.334;132.491;11.782;89.288;70.227
21;139.799;39.982;94.525;58.189;122.666;11.216;80.98;70.024
22;161.208;49.542;124.312;79.061;137.026;20.066;110.159;76.914
23;161.208;19.184;101.212;97.906;108.684;22.756;102.662;61.311
24;162.794;41.596;116.41;66.903;139.671;19.428;94.962;75.293
25;148.918;28.62;96.754;64.066;122.666;24.809;84.83;68.403
26;158.036;33.028;121.07;77.643;143.828;17.729;110.159;82.588
27;164.38;37.126;113.37;89.598;111.707;13.552;96.38;69.011
28;169.137;39.361;114.383;76.832;131.357;15.959;94.556;66.782
29;144.953;29.49;93.309;62.242;120.398;-3.368;75.508;72.456
30;162.794;43.707;122.691;79.466;147.607;12.066;112.186;83.601
31;165.966;-5.649;96.349;108.849;109.817;4.915;86.653;76.914
32;163.19;8.133;91.891;95.069;131.357;-6.978;78.143;81.98
33;147.332;36.008;95.741;62.242;125.311;17.729;84.83;71.037
34;162.397;39.609;120.868;80.479;142.316;33.163;115.631;78.332
35;168.741;22.971;107.291;99.325;108.306;30.968;102.864;59.69
36;161.208;41.223;112.965;67.713;135.514;20.632;96.177;70.835
37;156.451;13.162;90.675;77.035;115.108;31.959;87.464;57.461
38;164.38;28.496;123.097;79.872;138.915;38.472;113.199;77.927
39;165.966;38.119;112.965;91.827;106.794;14.189;96.38;64.756
